Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"0";"0";"3293";"2.2"
"277000";"0";"3295";"2.9"
"490000";"0";"3296";"3.3"
"702000";"0";"3296";"3.7"
"914000";"0";"3296";"4.1"
"1324000";"0";"3296";"4.8"
"1602000";"0";"3297";"5.2"
"1815000";"0";"3298";"5.9"
"2028000";"0";"3298";"6.3"
"2240000";"0";"3298";"6.7"
"2649000";"0";"3298";"7.4"
"2927000";"0";"3298";"7.8"
"3140000";"0";"3297";"8.2"
"3352000";"0";"3297";"8.5"
"3565000";"0";"3297";"8.9"
"3975000";"0";"3297";"9.7"
"4252000";"0";"3297";"10.4"
"4464000";"0";"3297";"10.8"
"4676000";"0";"3297";"11.1"
"4889000";"0";"3296";"11.5"
"5299000";"0";"3296";"12.3"
"5577000";"0";"3296";"13.0"
"5790000";"0";"3296";"13.4"
"6009000";"0";"3296";"13.8"
"6220000";"0";"3297";"14.1"
"6631000";"0";"3297";"14.9"
"6908000";"0";"3297";"15.3"
"7120000";"0";"3297";"15.6"
"7333000";"0";"3297";"16.4"
"7546000";"0";"3297";"16.8"
"7957000";"0";"3297";"17.5"
"8235000";"0";"3297";"17.9"
"8448000";"0";"3297";"18.2"
"8661000";"0";"3297";"18.6"
"8873000";"0";"3297";"19.0"
"9283000";"0";"3297";"19.7"
"9561000";"0";"3297";"20.5"
"9773000";"0";"3297";"20.9"
"9985000";"0";"3297";"21.2"
"10198000";"0";"3297";"21.6"
"10608000";"0";"3297";"22.4"
"10887000";"0";"3297";"23.1"
"11100000";"0";"3297";"23.5"
"11312000";"0";"3297";"23.8"
"11525000";"0";"3297";"24.2"
"11934000";"0";"3297";"25.0"
"12212000";"0";"3296";"25.3"
"12425000";"0";"3297";"25.7"
"12638000";"0";"3297";"26.5"
"12850000";"0";"3297";"26.8"
"13260000";"0";"3297";"27.6"
"13538000";"0";"3297";"28.0"
"13750000";"0";"3297";"28.3"
"13963000";"0";"3297";"28.7"
"14176000";"0";"3297";"29.1"
"14586000";"0";"3297";"29.8"
"14864000";"0";"3297";"30.6"
"15075000";"0";"3297";"30.9"
"15287000";"0";"3296";"31.3"
"15499000";"0";"3296";"31.7"
"15914000";"0";"3296";"32.4"
"16193000";"0";"3296";"33.2"
"16405000";"0";"3296";"33.6"
"16617000";"0";"3297";"33.9"
"16830000";"0";"3297";"34.3"
"17239000";"0";"3297";"35.1"
"17516000";"0";"3297";"35.4"
"17729000";"0";"3297";"35.8"
"17942000";"0";"3297";"36.5"
"18155000";"0";"3297";"36.9"
"18565000";"0";"3297";"37.7"
"18842000";"0";"3297";"38.0"
"19056000";"0";"3297";"38.4"
"19269000";"0";"3297";"38.8"
"19481000";"0";"3297";"39.2"
"19891000";"0";"3297";"39.9"
"20104000";"0";"3297";"40.3"
"20382000";"0";"3297";"41.0"
"20594000";"0";"3296";"41.4"
"20807000";"0";"3296";"41.8"
"21217000";"0";"3296";"42.5"
"21496000";"0";"3296";"43.3"
