Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"0";"0";"3294";"4.5"
"278000";"0";"3296";"5.6"
"491000";"0";"3298";"6.4"
"704000";"0";"3300";"6.7"
"916000";"0";"3299";"7.5"
"1327000";"0";"3298";"9.0"
"1605000";"0";"3298";"10.1"
"1817000";"0";"3297";"10.5"
"2029000";"0";"3297";"11.2"
"2243000";"0";"3296";"12.0"
"2653000";"0";"3296";"13.5"
"2931000";"0";"3296";"14.3"
"3143000";"0";"3296";"15.0"
"3355000";"0";"3296";"15.8"
"3568000";"0";"3296";"16.5"
"3978000";"0";"3296";"17.6"
"4256000";"0";"3296";"18.8"
"4468000";"0";"3296";"19.5"
"4680000";"0";"3296";"20.3"
"4892000";"0";"3296";"21.0"
"5302000";"0";"3296";"22.2"
"5580000";"0";"3296";"23.3"
"5793000";"0";"3296";"24.0"
"6005000";"0";"3296";"24.4"
"6218000";"0";"3296";"25.2"
"6628000";"0";"3296";"26.7"
"6907000";"0";"3296";"27.8"
"7120000";"0";"3296";"28.2"
"7332000";"0";"3297";"28.9"
"7545000";"0";"3297";"29.7"
"7961000";"0";"3297";"31.2"
"8239000";"0";"3297";"32.0"
"8452000";"0";"3297";"32.7"
"8664000";"0";"3297";"33.5"
"8877000";"0";"3296";"34.2"
"9286000";"0";"3296";"35.7"
"9564000";"0";"3296";"36.5"
"9777000";"0";"3296";"37.2"
"9989000";"0";"3296";"38.0"
"10202000";"0";"3296";"38.7"
"10604000";"0";"3296";"40.2"
"10890000";"0";"3296";"41.0"
"11103000";"0";"3296";"41.7"
"11316000";"0";"3296";"42.5"
"11529000";"0";"3296";"43.2"
"11938000";"0";"3296";"44.4"
"12216000";"0";"3296";"45.5"
"12428000";"0";"3296";"46.3"
"12641000";"0";"3296";"47.0"
"12852000";"0";"3296";"47.8"
"13263000";"0";"3296";"48.9"
"13541000";"1020700";"3296";"50.0"
"13754000";"1020700";"3296";"50.8"
"13966000";"1020700";"3296";"51.5"
"14178000";"1020700";"3296";"52.3"
"14588000";"1020700";"3296";"53.4"
"14866000";"1020700";"3296";"54.5"
"15078000";"1020700";"3296";"55.3"
"15291000";"1020700";"3296";"56.1"
"15504000";"1020700";"3296";"56.8"
"15914000";"1020700";"3296";"57.9"
"16190000";"1020700";"3296";"59.1"
"16402000";"1020700";"3296";"59.8"
"16615000";"1020700";"3297";"60.2"
"16828000";"1020700";"3297";"60.9"
"17238000";"1020700";"3297";"62.5"
"17516000";"1020700";"3297";"63.2"
"17729000";"1020700";"3297";"64.0"
"17942000";"1020700";"3297";"64.7"
