Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"0";"0";"3298";"2.9"
"277000";"0";"3297";"3.3"
"490000";"0";"3296";"3.6"
"702000";"0";"3295";"4.0"
"915000";"0";"3294";"4.4"
"1325000";"0";"3294";"5.5"
"1603000";"0";"3294";"5.9"
"1815000";"0";"3294";"6.2"
"2028000";"0";"3294";"6.6"
"2241000";"0";"3294";"7.3"
"2650000";"0";"3294";"8.1"
"2927000";"0";"3294";"8.4"
"3140000";"0";"3294";"8.8"
"3352000";"0";"3294";"9.2"
"3564000";"0";"3294";"9.9"
"3974000";"0";"3294";"10.7"
"4252000";"0";"3294";"11.0"
"4465000";"0";"3294";"11.8"
"4677000";"0";"3295";"12.1"
"4890000";"0";"3295";"12.5"
"5300000";"0";"3294";"13.2"
"5578000";"0";"3295";"14.0"
"5791000";"0";"3295";"14.3"
"6003000";"0";"3295";"14.7"
"6215000";"0";"3295";"15.1"
"6624000";"0";"3295";"15.8"
"6902000";"0";"3295";"16.6"
"7173000";"0";"3295";"16.9"
"7386000";"0";"3295";"17.3"
"7597000";"0";"3295";"18.0"
"8008000";"0";"3295";"18.8"
"8285000";"0";"3295";"19.1"
"8497000";"0";"3295";"19.5"
"8710000";"0";"3295";"20.3"
"8928000";"0";"3295";"20.6"
"9338000";"0";"3295";"21.4"
"9615000";"0";"3296";"22.1"
"9828000";"0";"3296";"22.5"
"10040000";"0";"3296";"22.8"
"10252000";"0";"3296";"23.2"
"10662000";"0";"3296";"23.9"
"10941000";"0";"3296";"24.7"
"11153000";"0";"3296";"25.0"
"11366000";"0";"3296";"25.4"
"11579000";"0";"3296";"25.8"
"11989000";"0";"3295";"26.5"
"12267000";"0";"3295";"27.3"
"12479000";"0";"3295";"27.6"
"12692000";"0";"3295";"28.0"
"12905000";"0";"3295";"28.4"
"13315000";"0";"3295";"29.1"
"13592000";"0";"3295";"29.8"
"13805000";"0";"3295";"30.2"
"14018000";"0";"3295";"30.6"
"14230000";"0";"3295";"30.9"
"14641000";"0";"3295";"32.1"
"14920000";"0";"3295";"32.4"
"15132000";"0";"3295";"32.8"
"15345000";"0";"3295";"33.2"
"15557000";"0";"3295";"33.5"
"15967000";"0";"3295";"34.6"
"16244000";"0";"3295";"35.0"
"16458000";"0";"3295";"35.4"
"16669000";"0";"3295";"35.7"
"16883000";"0";"3295";"36.5"
"17292000";"0";"3295";"37.2"
"17569000";"0";"3295";"37.6"
"17782000";"0";"3295";"38.0"
"17994000";"0";"3295";"38.3"
"18207000";"0";"3295";"39.1"
"18618000";"0";"3295";"39.8"
"18902000";"0";"3295";"40.2"
"19115000";"0";"3295";"40.5"
"19328000";"0";"3295";"41.3"
"19540000";"0";"3295";"41.7"
"19950000";"0";"3295";"42.4"
"20228000";"0";"3295";"42.8"
"20441000";"0";"3295";"43.1"
"20653000";"0";"3295";"43.9"
"20866000";"0";"3295";"44.2"
"21276000";"0";"3295";"45.0"
"21553000";"0";"3295";"45.3"
"21766000";"0";"3295";"46.1"
"21979000";"0";"3295";"46.4"
"22192000";"0";"3295";"46.8"
"22602000";"0";"3295";"47.6"
"22880000";"0";"3295";"48.3"
"23093000";"0";"3295";"48.7"
"23306000";"0";"3295";"49.0"
"23517000";"603000";"3295";"49.4"
"23926000";"603000";"3295";"50.1"
"24205000";"603000";"3295";"50.9"
"24417000";"603000";"3295";"51.2"
"24630000";"603000";"3295";"51.6"
"24844000";"603000";"3295";"52.0"
"25254000";"603000";"3295";"52.7"
"25532000";"603000";"3295";"53.5"
"25743000";"603000";"3295";"53.8"
"25957000";"603000";"3295";"54.2"
"26170000";"603000";"3295";"54.6"
"26580000";"603000";"3295";"55.7"
"26857000";"603000";"3295";"56.0"
"27070000";"603000";"3295";"56.4"
"27283000";"603000";"3295";"56.8"
"27496000";"603000";"3295";"57.5"
"27906000";"603000";"3295";"58.3"
"28184000";"603000";"3295";"58.6"
"28398000";"603000";"3295";"59.0"
"28610000";"603000";"3296";"59.7"
"28822000";"603000";"3296";"60.1"
"29239000";"603000";"3296";"60.8"
"29517000";"603000";"3296";"61.6"
"29729000";"603000";"3296";"61.9"
"29941000";"603000";"3296";"62.3"
"30152000";"603000";"3296";"62.7"
"30563000";"603000";"3296";"63.4"
"30840000";"603000";"3296";"64.2"
"31052000";"603000";"3296";"64.5"
"31265000";"603000";"3296";"64.9"
"31477000";"603000";"3296";"65.3"
"31887000";"603000";"3296";"66.0"
"32165000";"603000";"3296";"66.7"
"32378000";"603000";"3296";"67.1"
"32590000";"603000";"3296";"67.5"
"32803000";"603000";"3296";"67.8"
"33213000";"603000";"3296";"68.6"
"33491000";"603000";"3296";"69.3"
"33704000";"603000";"3296";"69.7"
"33917000";"603000";"3296";"70.1"
"34129000";"603000";"3296";"70.4"
"34539000";"603000";"3296";"71.2"
"34817000";"603000";"3296";"71.9"
"35029000";"603000";"3296";"72.3"
"35242000";"603000";"3295";"72.6"
"35455000";"603000";"3295";"73.0"
"35857000";"603000";"3295";"73.7"
"36142000";"603000";"3295";"74.5"
"36354000";"603000";"3295";"74.9"
"36566000";"603000";"3295";"75.2"
"36779000";"603000";"3295";"75.6"
"37190000";"603000";"3296";"76.7"
"37468000";"603000";"3295";"77.1"
"37679000";"603000";"3295";"77.4"
"37893000";"603000";"3295";"77.8"
"38105000";"603000";"3295";"78.5"
"38515000";"603000";"3296";"79.3"
"38793000";"603000";"3296";"79.7"
"39011000";"603000";"3296";"80.0"
"39224000";"603000";"3296";"80.8"
"39438000";"603000";"3296";"81.1"
"39848000";"603000";"3296";"81.9"
"40125000";"603000";"3296";"82.2"
"40338000";"603000";"3296";"82.6"
"40550000";"603000";"3296";"83.3"
"40764000";"603000";"3296";"83.7"
