Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"0";"0";"3297";"2.2"
"277000";"0";"3295";"2.5"
"490000";"0";"3295";"2.9"
"703000";"0";"3295";"3.3"
"915000";"0";"3295";"3.6"
"1325000";"0";"3296";"4.4"
"1603000";"0";"3296";"4.7"
"1815000";"0";"3296";"5.1"
"2027000";"0";"3296";"5.5"
"2240000";"0";"3296";"5.8"
"2650000";"0";"3297";"6.6"
"2928000";"0";"3297";"6.9"
"3141000";"0";"3297";"7.3"
"3354000";"0";"3297";"7.7"
"3566000";"0";"3298";"7.7"
"3975000";"0";"3297";"8.4"
"4253000";"0";"3298";"9.1"
"4466000";"0";"3298";"9.1"
"4679000";"0";"3298";"9.5"
"4890000";"0";"3298";"9.9"
"5300000";"0";"3297";"10.6"
"5578000";"0";"3297";"11.0"
"5797000";"0";"3297";"11.3"
"6010000";"0";"3297";"11.7"
"6222000";"0";"3297";"12.1"
"6633000";"0";"3297";"12.8"
"6910000";"0";"3297";"13.2"
"7123000";"0";"3296";"13.5"
"7337000";"0";"3296";"13.9"
"7549000";"0";"3296";"14.3"
"7959000";"0";"3296";"15.0"
"8238000";"0";"3296";"15.4"
"8450000";"0";"3296";"15.7"
"8662000";"0";"3296";"16.1"
"8874000";"0";"3297";"16.5"
"9349000";"0";"3297";"17.2"
"9628000";"0";"3297";"17.6"
"9840000";"0";"3297";"17.9"
"10053000";"0";"3297";"18.3"
"10265000";"0";"3297";"18.7"
"10675000";"0";"3297";"19.4"
"10953000";"0";"3297";"19.8"
"11164000";"0";"3297";"20.2"
"11377000";"0";"3297";"20.5"
"11589000";"0";"3297";"20.9"
"11998000";"0";"3297";"21.2"
"12277000";"0";"3297";"21.6"
"12490000";"0";"3297";"22.0"
"12703000";"0";"3297";"22.3"
"12915000";"0";"3297";"22.7"
"13325000";"0";"3297";"23.5"
"13603000";"0";"3297";"23.8"
"13816000";"0";"3297";"24.2"
"14028000";"0";"3297";"24.6"
"14241000";"0";"3297";"24.9"
"14652000";"0";"3297";"25.7"
"14929000";"0";"3297";"26.0"
"15142000";"0";"3297";"26.4"
"15354000";"0";"3297";"26.8"
"15568000";"0";"3297";"27.1"
