Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"0";"0";"3295";"3.3"
"278000";"0";"3296";"4.0"
"490000";"0";"3295";"4.4"
"708000";"0";"3295";"5.1"
"920000";"0";"3295";"5.5"
"1331000";"0";"3295";"6.6"
"1608000";"0";"3295";"7.4"
"1820000";"0";"3295";"7.7"
"2033000";"0";"3296";"8.1"
"2246000";"0";"3296";"8.9"
"2655000";"0";"3296";"10.0"
"2933000";"0";"3297";"10.3"
"3145000";"0";"3297";"11.1"
"3358000";"0";"3297";"11.5"
"3571000";"0";"3297";"12.2"
"3981000";"0";"3297";"12.9"
"4259000";"0";"3297";"13.7"
"4471000";"0";"3297";"14.4"
"4684000";"0";"3297";"14.8"
"4895000";"0";"3297";"15.2"
"5306000";"0";"3297";"16.3"
"5584000";"0";"3297";"17.0"
"5797000";"0";"3297";"17.4"
"6009000";"0";"3298";"18.1"
"6222000";"0";"3297";"18.5"
"6624000";"0";"3297";"19.6"
"6844000";"0";"3297";"20.0"
"7121000";"0";"3297";"20.7"
"7334000";"0";"3297";"21.5"
"7546000";"0";"3297";"21.8"
"7957000";"0";"3297";"23.0"
"8235000";"0";"3297";"23.7"
"8447000";"0";"3297";"24.1"
"8659000";"0";"3297";"24.4"
"8873000";"0";"3297";"25.2"
"9283000";"0";"3298";"25.9"
"9561000";"0";"3298";"26.7"
"9773000";"0";"3298";"27.4"
"9987000";"0";"3298";"27.8"
"10200000";"0";"3298";"28.5"
"10615000";"0";"3298";"29.3"
"10894000";"0";"3298";"30.0"
"11106000";"0";"3298";"30.8"
"11318000";"0";"3298";"31.1"
"11531000";"0";"3298";"31.9"
"11941000";"0";"3298";"32.6"
"12220000";"0";"3297";"33.4"
"12432000";"0";"3298";"34.1"
"12645000";"0";"3297";"34.5"
"12857000";"0";"3298";"34.8"
"13267000";"0";"3298";"36.0"
"13544000";"0";"3298";"36.7"
"13756000";"0";"3298";"37.1"
"13969000";"0";"3298";"37.8"
"14181000";"0";"3298";"38.2"
"14591000";"0";"3298";"39.3"
"14869000";"0";"3298";"40.0"
"15080000";"0";"3298";"40.4"
"15293000";"0";"3298";"41.2"
"15505000";"0";"3297";"41.5"
"15914000";"0";"3297";"42.6"
"16193000";"0";"3297";"43.4"
"16405000";"0";"3297";"43.7"
"16617000";"0";"3298";"44.1"
"16830000";"0";"3298";"44.9"
"17238000";"0";"3297";"46.0"
"17516000";"0";"3297";"46.3"
"17729000";"0";"3297";"47.1"
"17941000";"0";"3297";"47.5"
"18154000";"0";"3297";"48.2"
"18565000";"0";"3297";"48.9"
"18843000";"747100";"3298";"49.7"
"19055000";"747100";"3297";"50.4"
"19267000";"747100";"3297";"50.8"
"19480000";"747100";"3297";"51.2"
"19890000";"747100";"3297";"52.3"
"20168000";"747100";"3297";"53.0"
"20380000";"747100";"3297";"53.4"
"20593000";"747100";"3297";"54.1"
"20810000";"747100";"3297";"54.5"
"21221000";"747100";"3297";"55.6"
"21499000";"747100";"3297";"56.4"
"21711000";"747100";"3297";"56.7"
"21924000";"747100";"3297";"57.5"
"22137000";"747100";"3297";"57.9"
"22547000";"747100";"3297";"59.0"
"22826000";"747100";"3297";"59.7"
"23038000";"747100";"3297";"60.1"
"23251000";"747100";"3297";"60.4"
"23464000";"747100";"3297";"61.2"
"23874000";"747100";"3297";"62.3"
"24152000";"747100";"3297";"62.7"
"24365000";"747100";"3297";"63.4"
"24578000";"747100";"3297";"63.8"
"24790000";"747100";"3297";"64.5"
