Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"0";"0";"3299";"3.3"
"278000";"0";"3300";"4.1"
"491000";"0";"3299";"4.5"
"703000";"0";"3297";"4.8"
"915000";"0";"3297";"5.6"
"1325000";"0";"3298";"6.3"
"1604000";"0";"3298";"7.1"
"1816000";"0";"3298";"7.8"
"2028000";"0";"3297";"8.2"
"2241000";"0";"3298";"9.0"
"2652000";"0";"3297";"9.7"
"2930000";"0";"3297";"10.5"
"3143000";"0";"3297";"10.8"
"3355000";"0";"3297";"11.6"
"3568000";"0";"3297";"12.0"
"3977000";"0";"3297";"13.1"
"4256000";"0";"3297";"13.9"
"4468000";"0";"3296";"14.2"
"4681000";"0";"3296";"15.0"
"4892000";"0";"3296";"15.4"
"5294000";"0";"3297";"16.5"
"5579000";"0";"3297";"17.2"
"5792000";"0";"3297";"17.6"
"6004000";"0";"3297";"18.0"
"6217000";"0";"3297";"18.7"
"6628000";"0";"3297";"19.9"
"6905000";"0";"3297";"20.2"
"7118000";"0";"3297";"21.0"
"7330000";"0";"3297";"21.4"
"7547000";"0";"3297";"22.1"
"7957000";"0";"3297";"22.9"
"8236000";"0";"3297";"23.6"
"8448000";"0";"3297";"24.4"
"8661000";"0";"3296";"24.7"
"8873000";"0";"3297";"25.1"
"9284000";"0";"3297";"26.3"
"9562000";"0";"3297";"27.0"
"9780000";"0";"3297";"27.4"
"9992000";"0";"3297";"28.1"
"10205000";"0";"3296";"28.5"
"10616000";"0";"3296";"29.6"
"10892000";"0";"3297";"30.4"
"11105000";"0";"3296";"30.8"
"11318000";"0";"3296";"31.5"
"11531000";"0";"3296";"31.9"
"11941000";"0";"3297";"33.0"
"12219000";"0";"3297";"33.4"
"12432000";"0";"3297";"34.1"
"12645000";"0";"3297";"34.5"
"12857000";"0";"3297";"35.3"
"13268000";"0";"3297";"36.0"
"13545000";"0";"3297";"36.8"
"13758000";"0";"3297";"37.5"
"13970000";"0";"3297";"37.9"
"14181000";"0";"3297";"38.3"
"14592000";"0";"3297";"39.4"
"14870000";"0";"3297";"40.2"
"15083000";"0";"3297";"40.5"
"15295000";"0";"3297";"41.3"
"15508000";"0";"3297";"41.7"
"15984000";"0";"3297";"42.8"
"16196000";"0";"3297";"43.5"
"16409000";"0";"3297";"43.9"
"16621000";"0";"3297";"44.7"
"16833000";"0";"3297";"45.0"
"17244000";"0";"3297";"46.2"
"17522000";"0";"3297";"46.9"
"17735000";"0";"3297";"47.3"
"17947000";"0";"3297";"47.7"
"18160000";"0";"3298";"48.4"
"18569000";"0";"3298";"49.6"
"18847000";"750500";"3297";"49.9"
"19060000";"750500";"3298";"50.7"
"19272000";"750500";"3297";"51.1"
"19485000";"750500";"3297";"51.8"
"19900000";"750500";"3297";"52.6"
"20178000";"750500";"3297";"53.3"
"20390000";"750500";"3297";"54.1"
"20603000";"750500";"3297";"54.4"
"20815000";"750500";"3297";"54.8"
"21225000";"750500";"3297";"55.9"
"21503000";"750500";"3298";"56.7"
"21715000";"750500";"3297";"57.1"
"21927000";"750500";"3297";"57.8"
"22140000";"750500";"3297";"58.2"
"22550000";"750500";"3297";"59.3"
"22828000";"750500";"3297";"60.1"
"23041000";"750500";"3297";"60.4"
"23253000";"750500";"3297";"61.2"
"23465000";"750500";"3298";"61.6"
"23875000";"750500";"3298";"62.7"
"24153000";"750500";"3298";"63.1"
"24365000";"750500";"3298";"63.8"
"24578000";"750500";"3298";"64.2"
"24789000";"750500";"3298";"65.0"
"25200000";"750500";"3298";"65.7"
"25478000";"750500";"3298";"66.5"
"25691000";"750500";"3298";"67.2"
"25904000";"750500";"3298";"67.6"
"26116000";"750500";"3298";"68.0"
"26525000";"750500";"3298";"69.1"
"26803000";"750500";"3297";"69.8"
"27016000";"750500";"3298";"70.2"
"27228000";"750500";"3298";"71.0"
"27441000";"750500";"3297";"71.3"
"27851000";"750500";"3297";"72.5"
"28128000";"750500";"3298";"73.2"
"28340000";"750500";"3297";"73.6"
"28553000";"750500";"3297";"74.4"
"28766000";"750500";"3297";"74.7"
"29176000";"750500";"3297";"75.9"
"29452000";"750500";"3297";"76.6"
"29671000";"750500";"3297";"77.0"
"29883000";"750500";"3297";"77.4"
"30096000";"750500";"3297";"78.1"
"30505000";"750500";"3297";"78.9"
"30784000";"750500";"3297";"79.6"
"30996000";"750500";"3297";"80.4"
"31209000";"750500";"3297";"80.7"
"31422000";"750500";"3297";"81.5"
"31832000";"750500";"3297";"82.2"
"32109000";"750500";"3297";"83.0"
"32322000";"750500";"3297";"83.7"
"32533000";"750500";"3297";"84.1"
"32745000";"750500";"3297";"84.5"
"33156000";"750500";"3297";"85.6"
"33434000";"750500";"3297";"86.4"
"33646000";"750500";"3297";"86.7"
"33860000";"750500";"3297";"87.5"
"34071000";"750500";"3297";"87.9"
"34482000";"750500";"3297";"89.0"
"34759000";"750500";"3297";"89.8"
"34972000";"750500";"3297";"90.1"
"35185000";"750500";"3297";"90.5"
"35397000";"750500";"3297";"91.3"
"35808000";"750500";"3297";"92.4"
"36085000";"750500";"3297";"92.8"
"36298000";"750500";"3297";"93.5"
"36510000";"750500";"3297";"93.9"
"36724000";"750500";"3297";"94.6"
"37133000";"750500";"3297";"95.4"
"37410000";"750500";"3297";"96.1"
"37623000";"750500";"3297";"96.9"
"37835000";"750500";"3297";"97.3"
"38048000";"750500";"3297";"97.6"
"38459000";"750500";"3297";"98.8"
"38737000";"750500";"3297";"99.5"
"38949000";"753400";"3297";"99.9"
"39162000";"753400";"3297";"100.7"
"39374000";"753400";"3297";"101.0"
"39790000";"753400";"3297";"102.2"
"40069000";"753400";"3297";"102.9"
"40281000";"753400";"3297";"103.3"
"40494000";"753400";"3297";"104.0"
"40707000";"753400";"3297";"104.4"
"41117000";"753400";"3297";"105.5"
"41395000";"753400";"3297";"106.3"
"41607000";"753400";"3297";"106.7"
"41820000";"753400";"3297";"107.0"
"42032000";"753400";"3297";"107.8"
"42443000";"753400";"3297";"108.9"
"42720000";"753400";"3297";"109.3"
"42932000";"753400";"3297";"110.0"
"43145000";"753400";"3297";"110.4"
"43358000";"753400";"3297";"111.2"
"43767000";"753400";"3297";"111.9"
"44045000";"753400";"3297";"112.7"
"44258000";"753400";"3297";"113.4"
"44471000";"753400";"3297";"113.8"
"44683000";"753400";"3297";"114.2"
"45093000";"753400";"3297";"115.3"
"45372000";"753400";"3297";"116.1"
"45584000";"753400";"3296";"116.4"
"45797000";"753400";"3296";"117.2"
"46009000";"753400";"3296";"117.6"
"46403000";"753400";"3297";"118.7"
"46690000";"753400";"3297";"119.4"
"46902000";"753400";"3297";"119.8"
"47115000";"753400";"3297";"120.2"
"47328000";"753400";"3297";"120.9"
"47738000";"753400";"3297";"121.7"
"48016000";"753400";"3297";"122.4"
"48228000";"753400";"3297";"123.2"
"48441000";"753400";"3297";"123.6"
"48654000";"753400";"3297";"124.3"
"49064000";"753400";"3297";"125.1"
"49343000";"753400";"3297";"125.8"
"49561000";"753400";"3297";"126.2"
"49779000";"753400";"3297";"127.0"
"49991000";"753400";"3297";"127.3"
"50401000";"753400";"3297";"128.5"
"50679000";"753400";"3297";"129.2"
"50891000";"753400";"3296";"129.6"
"51104000";"753400";"3297";"130.3"
"51316000";"753400";"3296";"130.7"
"51726000";"753400";"3296";"131.8"
"52004000";"753400";"3297";"132.6"
"52217000";"753400";"3297";"133.0"
"52429000";"753400";"3297";"133.3"
"52642000";"753400";"3297";"134.1"
"53051000";"753400";"3297";"135.2"
"53329000";"753400";"3297";"135.6"
"53543000";"753400";"3297";"136.4"
"53755000";"753400";"3297";"136.7"
"53967000";"753400";"3297";"137.5"
"54370000";"753400";"3297";"138.2"
"54656000";"753400";"3297";"139.0"
"54868000";"753400";"3297";"139.7"
"55080000";"753400";"3297";"140.1"
"55292000";"753400";"3296";"140.5"
"55701000";"753400";"3296";"141.6"
"55980000";"753400";"3296";"142.4"
"56192000";"753400";"3296";"142.7"
"56405000";"753400";"3296";"143.5"
"56618000";"753400";"3296";"143.9"
"57029000";"753400";"3296";"145.0"
"57306000";"753400";"3296";"145.7"
"57519000";"753400";"3296";"146.1"
"57732000";"753400";"3296";"146.5"
"57945000";"753400";"3297";"147.2"
"58354000";"753400";"3297";"148.4"
"58631000";"753400";"3297";"148.7"
"58845000";"753400";"3297";"149.5"
"59057000";"753200";"3297";"149.9"
"59269000";"753200";"3297";"150.6"
"59684000";"753200";"3297";"151.4"
"59963000";"753200";"3297";"152.1"
"60176000";"753200";"3297";"152.9"
"60388000";"753200";"3297";"153.3"
"60601000";"753200";"3297";"153.6"
"61011000";"753200";"3297";"154.8"
"61289000";"753200";"3297";"155.5"
"61501000";"753200";"3297";"155.9"
"61714000";"753200";"3297";"156.6"
"61927000";"753200";"3297";"157.0"
"62337000";"753200";"3297";"158.1"
"62615000";"753200";"3297";"158.9"
"62827000";"753200";"3297";"159.3"
"63040000";"753200";"3297";"160.0"
"63253000";"753200";"3297";"160.4"
"63664000";"753200";"3297";"161.5"
"63941000";"753200";"3297";"162.3"
"64155000";"753200";"3297";"162.7"
"64366000";"753200";"3297";"163.0"
"64578000";"753200";"3297";"163.8"
"64988000";"753200";"3297";"164.5"
"65266000";"753200";"3297";"165.3"
"65479000";"753200";"3297";"166.0"
"65691000";"753200";"3297";"166.4"
"65903000";"753200";"3297";"167.2"
"66313000";"753200";"3297";"167.9"
"66590000";"753200";"3297";"168.7"
"66804000";"753200";"3297";"169.4"
"67016000";"753200";"3297";"169.8"
"67229000";"753200";"3297";"170.2"
"67639000";"753200";"3297";"171.3"
"67918000";"753200";"3297";"172.0"
"68130000";"753200";"3297";"172.4"
"68343000";"753200";"3297";"173.2"
"68555000";"753200";"3297";"173.5"
"68965000";"753200";"3297";"174.7"
"69242000";"753200";"3297";"175.4"
"69454000";"753200";"3297";"175.8"
"69672000";"753200";"3297";"176.2"
"69884000";"753200";"3297";"176.9"
"70293000";"753200";"3297";"178.1"
"70571000";"753200";"3297";"178.4"
"70784000";"753200";"3297";"179.2"
"70996000";"753200";"3297";"179.6"
"71209000";"753200";"3297";"180.3"
"71619000";"753200";"3297";"181.1"
"71897000";"753200";"3297";"181.8"
"72109000";"753200";"3297";"182.6"
