Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"0";"0";"3297";"2.2"
"277000";"0";"3297";"2.9"
"490000";"0";"3297";"3.3"
"702000";"0";"3298";"3.6"
"915000";"0";"3299";"3.6"
"1325000";"0";"3300";"4.4"
"1603000";"0";"3300";"5.1"
"1817000";"0";"3300";"5.5"
"2028000";"0";"3300";"5.8"
"2240000";"0";"3300";"6.2"
"2650000";"0";"3300";"6.9"
"2928000";"0";"3299";"7.3"
"3141000";"0";"3299";"7.7"
"3353000";"0";"3299";"8.0"
"3565000";"0";"3299";"8.4"
"3975000";"0";"3299";"9.2"
"4252000";"0";"3299";"9.5"
"4464000";"0";"3299";"9.9"
"4681000";"0";"3299";"10.3"
"4893000";"0";"3299";"10.6"
"5308000";"0";"3299";"11.4"
"5585000";"0";"3298";"11.7"
"5798000";"0";"3298";"12.1"
"6010000";"0";"3298";"12.5"
"6223000";"0";"3298";"12.8"
"6633000";"0";"3298";"13.6"
"6910000";"0";"3298";"13.9"
"7123000";"0";"3297";"14.3"
"7335000";"0";"3297";"14.7"
"7548000";"0";"3297";"15.0"
"7959000";"0";"3297";"15.8"
"8237000";"0";"3297";"16.1"
"8450000";"0";"3297";"16.5"
"8663000";"0";"3297";"16.9"
"8876000";"0";"3297";"17.2"
"9287000";"0";"3297";"18.0"
"9564000";"0";"3296";"18.3"
"9777000";"0";"3296";"18.7"
"9989000";"0";"3296";"19.1"
"10201000";"0";"3296";"19.4"
"10611000";"0";"3296";"20.2"
"10889000";"0";"3296";"20.5"
"11102000";"0";"3296";"20.9"
"11315000";"0";"3296";"21.3"
"11528000";"0";"3296";"21.6"
"11938000";"0";"3296";"22.4"
"12215000";"0";"3296";"22.7"
"12428000";"0";"3296";"23.5"
"12641000";"0";"3296";"23.9"
"12853000";"0";"3296";"23.9"
"13263000";"0";"3296";"24.6"
"13541000";"0";"3297";"25.3"
"13753000";"0";"3297";"25.7"
"13966000";"0";"3297";"26.1"
"14178000";"0";"3296";"26.4"
"14588000";"0";"3296";"26.8"
"14867000";"0";"3297";"27.5"
"15085000";"0";"3297";"27.9"
"15297000";"0";"3297";"28.3"
"15509000";"0";"3297";"28.6"
"15920000";"0";"3297";"29.4"
"16199000";"0";"3297";"29.7"
"16411000";"0";"3297";"30.1"
"16624000";"0";"3297";"30.5"
"16837000";"0";"3297";"30.8"
"17246000";"0";"3297";"31.6"
"17523000";"0";"3297";"31.9"
"17736000";"0";"3296";"32.3"
"17948000";"0";"3296";"32.7"
"18161000";"0";"3296";"33.1"
"18571000";"0";"3296";"33.8"
"18849000";"0";"3296";"34.2"
"19063000";"0";"3296";"34.5"
"19275000";"0";"3296";"34.9"
"19488000";"0";"3297";"35.3"
"19898000";"0";"3297";"36.0"
"20176000";"0";"3297";"36.4"
"20388000";"0";"3297";"36.7"
"20601000";"0";"3296";"37.1"
"20813000";"0";"3296";"37.5"
"21225000";"0";"3296";"38.2"
"21502000";"0";"3296";"38.6"
"21715000";"0";"3296";"38.9"
"21928000";"0";"3296";"39.3"
"22140000";"0";"3296";"39.7"
"22551000";"0";"3296";"40.4"
"22828000";"0";"3297";"40.8"
"23041000";"0";"3297";"41.1"
"23253000";"0";"3297";"41.5"
"23465000";"0";"3297";"41.9"
"23941000";"0";"3297";"43.0"
"24153000";"0";"3297";"43.4"
"24366000";"0";"3297";"43.7"
"24579000";"0";"3297";"43.7"
"24791000";"0";"3298";"44.1"
"25273000";"0";"3298";"45.2"
"25486000";"0";"3298";"45.6"
"25698000";"0";"3298";"45.9"
"25911000";"0";"3297";"46.3"
"26124000";"0";"3297";"46.7"
"26600000";"0";"3297";"47.4"
