Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"0";"0";"3299";"1.4"
"278000";"0";"3296";"1.4"
"491000";"0";"3296";"1.8"
"704000";"0";"3295";"1.8"
"915000";"0";"3295";"2.1"
"1326000";"0";"3295";"2.5"
"1603000";"0";"3295";"2.9"
"1816000";"0";"3295";"2.9"
"2028000";"0";"3295";"3.2"
"2240000";"0";"3296";"3.2"
"2650000";"0";"3297";"4.0"
"2928000";"0";"3296";"4.0"
"3141000";"0";"3296";"4.3"
"3354000";"0";"3296";"4.3"
"3566000";"0";"3296";"4.7"
"3977000";"0";"3296";"5.0"
"4254000";"0";"3296";"5.4"
"4466000";"0";"3296";"5.4"
"4679000";"0";"3296";"5.8"
"4891000";"0";"3296";"6.1"
"5301000";"0";"3296";"6.5"
"5578000";"0";"3296";"6.5"
"5797000";"0";"3296";"6.9"
"6009000";"0";"3296";"7.2"
"6226000";"0";"3296";"7.2"
"6636000";"0";"3296";"7.6"
"6913000";"0";"3296";"7.9"
"7125000";"0";"3296";"8.3"
"7338000";"0";"3296";"8.3"
"7550000";"0";"3296";"8.7"
"7960000";"0";"3296";"9.0"
"8239000";"0";"3296";"9.8"
"8451000";"0";"3296";"10.2"
"8664000";"0";"3296";"10.5"
"8876000";"0";"3296";"10.9"
"9287000";"0";"3296";"12.0"
"9565000";"0";"3296";"12.4"
"9778000";"0";"3296";"12.8"
"9991000";"0";"3296";"13.1"
"10202000";"0";"3296";"13.9"
"10613000";"0";"3296";"14.6"
"10890000";"0";"3296";"15.0"
"11104000";"0";"3296";"15.8"
"11317000";"0";"3296";"16.1"
"11529000";"0";"3297";"16.5"
"11939000";"0";"3296";"17.2"
"12218000";"0";"3296";"18.0"
"12430000";"0";"3296";"18.4"
"12643000";"0";"3296";"18.7"
"12856000";"0";"3296";"19.1"
"13266000";"0";"3296";"20.2"
"13544000";"0";"3296";"20.6"
"13756000";"0";"3296";"21.0"
"13970000";"0";"3296";"21.4"
"14182000";"0";"3297";"22.1"
"14592000";"0";"3297";"22.9"
"14869000";"0";"3296";"23.2"
"15082000";"0";"3297";"24.0"
"15295000";"0";"3297";"24.3"
"15508000";"0";"3297";"24.7"
"15923000";"0";"3296";"25.5"
"16201000";"0";"3296";"26.2"
"16414000";"0";"3296";"26.6"
"16627000";"0";"3296";"27.0"
"16839000";"0";"3296";"27.3"
"17250000";"0";"3297";"28.1"
"17527000";"0";"3297";"28.8"
"17740000";"0";"3297";"29.2"
"17953000";"0";"3296";"29.6"
"18167000";"0";"3297";"29.9"
"18576000";"0";"3297";"31.1"
"18855000";"0";"3296";"31.4"
"19068000";"0";"3297";"31.8"
"19281000";"0";"3297";"32.6"
"19493000";"0";"3297";"32.9"
"19902000";"0";"3297";"33.7"
"20179000";"0";"3297";"34.0"
"20393000";"0";"3297";"34.8"
"20605000";"0";"3297";"35.2"
"20818000";"0";"3297";"35.5"
"21228000";"0";"3297";"36.3"
"21505000";"0";"3297";"37.0"
"21718000";"0";"3297";"37.4"
"21931000";"0";"3297";"37.8"
"22144000";"0";"3297";"38.1"
"22553000";"0";"3297";"38.9"
"22830000";"0";"3297";"39.6"
"23043000";"0";"3297";"40.0"
"23256000";"0";"3297";"40.4"
"23469000";"0";"3297";"40.8"
"23879000";"0";"3297";"41.5"
"24092000";"0";"3297";"42.3"
"24370000";"0";"3296";"42.6"
