Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"0";"0";"3294";"2.6"
"278000";"0";"3296";"3.3"
"491000";"0";"3295";"3.7"
"703000";"0";"3297";"4.1"
"916000";"0";"3298";"4.8"
"1325000";"0";"3297";"5.6"
"1604000";"0";"3296";"6.3"
"1816000";"0";"3296";"6.7"
"2035000";"0";"3296";"7.4"
"2248000";"0";"3296";"7.8"
"2657000";"0";"3297";"8.9"
"2935000";"0";"3296";"9.3"
"3148000";"0";"3297";"10.1"
"3361000";"0";"3297";"10.4"
"3574000";"0";"3296";"10.8"
"3984000";"0";"3297";"11.9"
"4262000";"0";"3297";"12.3"
"4476000";"0";"3297";"13.0"
"4688000";"0";"3297";"13.4"
"4901000";"0";"3297";"13.8"
"5311000";"0";"3297";"14.9"
"5589000";"0";"3297";"15.7"
"5802000";"0";"3297";"16.0"
"6013000";"0";"3297";"16.4"
"6226000";"0";"3297";"17.2"
"6636000";"0";"3297";"17.9"
"6913000";"0";"3297";"18.7"
"7125000";"0";"3297";"19.4"
"7338000";"0";"3297";"20.2"
"7550000";"0";"3297";"20.9"
"7961000";"0";"3297";"22.0"
"8243000";"0";"3297";"23.2"
"8455000";"0";"3297";"23.9"
"8668000";"0";"3297";"24.7"
"8879000";"0";"3297";"25.4"
"9290000";"0";"3297";"26.6"
"9569000";"0";"3297";"27.7"
"9780000";"0";"3297";"28.4"
"9994000";"0";"3297";"29.2"
"10205000";"0";"3297";"29.6"
"10616000";"0";"3297";"31.1"
"10895000";"0";"3297";"32.2"
"11107000";"0";"3297";"33.0"
"11319000";"0";"3297";"33.3"
"11532000";"0";"3298";"34.1"
"11948000";"0";"3298";"35.6"
"12226000";"0";"3298";"36.7"
"12438000";"0";"3298";"37.1"
"12650000";"0";"3298";"37.9"
"12862000";"0";"3298";"38.6"
"13273000";"0";"3298";"40.1"
"13551000";"0";"3298";"40.9"
"13763000";"0";"3298";"41.6"
"13975000";"0";"3298";"42.4"
"14188000";"0";"3298";"43.1"
"14598000";"0";"3298";"44.6"
"14876000";"0";"3298";"45.4"
"15087000";"0";"3298";"46.2"
"15300000";"0";"3298";"46.9"
"15514000";"0";"3298";"47.7"
"15989000";"0";"3298";"49.2"
"16202000";"867100";"3298";"49.9"
"16415000";"867100";"3298";"50.7"
"16628000";"867100";"3298";"51.4"
"16840000";"867100";"3298";"52.2"
"17250000";"867100";"3298";"53.7"
"17528000";"867100";"3297";"54.4"
"17741000";"867100";"3297";"55.2"
"17953000";"867100";"3297";"55.9"
"18166000";"867100";"3297";"56.7"
"18575000";"867100";"3297";"58.2"
"18853000";"867100";"3297";"59.0"
"19066000";"867100";"3297";"59.7"
"19279000";"867100";"3297";"60.5"
"19492000";"867100";"3297";"61.2"
"19901000";"867100";"3297";"62.3"
"20179000";"867100";"3297";"63.5"
"20391000";"867100";"3297";"64.2"
"20604000";"867100";"3297";"65.0"
"20816000";"867100";"3297";"65.7"
"21226000";"867100";"3297";"66.9"
"21505000";"867100";"3297";"68.0"
"21717000";"867100";"3297";"68.8"
"21936000";"867100";"3297";"69.5"
"22148000";"867100";"3297";"70.3"
"22558000";"867100";"3297";"71.4"
"22836000";"867100";"3297";"72.5"
"23049000";"867100";"3297";"73.3"
"23261000";"867100";"3297";"74.0"
"23474000";"867100";"3297";"74.4"
"23885000";"867100";"3297";"75.9"
"24163000";"867100";"3297";"77.0"
"24375000";"867100";"3297";"77.8"
"24587000";"867100";"3297";"78.2"
"24800000";"867100";"3297";"78.9"
"25210000";"867100";"3297";"80.4"
"25487000";"867100";"3297";"81.6"
"25700000";"867100";"3297";"81.9"
"25912000";"867100";"3297";"82.7"
"26124000";"867100";"3297";"83.4"
"26534000";"867100";"3297";"85.0"
"26811000";"867100";"3297";"85.7"
"27024000";"867100";"3297";"86.5"
"27236000";"867100";"3297";"87.2"
"27448000";"867100";"3297";"88.0"
"27859000";"867100";"3297";"89.5"
"28138000";"867100";"3297";"90.2"
"28350000";"867100";"3297";"91.0"
"28563000";"867100";"3297";"91.7"
"28776000";"867100";"3297";"92.5"
"29186000";"867100";"3297";"94.0"
"29463000";"867100";"3297";"94.7"
"29675000";"867100";"3297";"95.5"
"29889000";"867100";"3297";"96.3"
"30102000";"867100";"3297";"97.0"
"30512000";"867100";"3297";"98.5"
"30789000";"867100";"3297";"99.3"
"31002000";"1025900";"3297";"100.0"
"31214000";"1025900";"3297";"100.8"
"31427000";"1025900";"3297";"101.5"
"31836000";"1025900";"3297";"102.7"
"32120000";"1025900";"3297";"103.8"
"32332000";"1025900";"3297";"104.5"
"32543000";"1025900";"3297";"105.3"
"32755000";"1025900";"3297";"106.0"
