Time (ns);Current (nA);Voltage (mV);Energy (uJ);DSR
"0";"1610900";"3293";"23.8";"0x3F101B084000E30"
"899000";"1610900";"3292";"28.7";"0xBF101B084000E30"
"1733000";"1610900";"3293";"33.7";"0x3F100F484000E30"
"2566000";"1610900";"3294";"38.6";"0x2BF101AF8C000E30"
"3399000";"1610900";"3295";"43.1";""
"4474000";"1610900";"3295";"48.1";""
"5387000";"1610900";"3295";"53.0";""
"6220000";"1610900";"3295";"57.5";""
"7053000";"1610900";"3295";"62.1";"0xBF0441A84000E30"
"7887000";"1610900";"3295";"67.0";"0x3F101AA84000E30"
"8969000";"1610900";"3296";"72.3";""
"9868000";"1640100";"3296";"77.2";"0xBF0440284000E30"
"10701000";"1640100";"3296";"81.8";"0x3F100FC84000E30"
"11535000";"1640100";"3296";"86.7";"0x2BF101AF8C000E30"
"12368000";"1640100";"3296";"91.2";""
"13449000";"1640100";"3296";"96.2";""
"14349000";"1640100";"3296";"101.1";""
"15187000";"1640100";"3296";"105.6";""
"16020000";"1640100";"3296";"110.2";"0x3F0441C84000E30"
"16853000";"1640100";"3296";"115.1";"0x2BF101AF8C000E30"
"17935000";"1640100";"3296";"120.0";"0x3F100FC84000E30"
"18834000";"1640100";"3296";"124.9";"0xBF0440A84000E30"
"19668000";"1627900";"3296";"129.9";"0x3F101A084000E30"
"20503000";"1627900";"3296";"134.8";"0x2BF101AF8C000E30"
"21336000";"1627900";"3296";"139.3";"0x2BF101B084000E30"
"22418000";"1627900";"3296";"144.6";"0x2BF101AF8C000E30"
"23315000";"1627900";"3296";"149.2";""
"24149000";"1627900";"3295";"153.7";""
"24987000";"1627900";"3296";"158.7";"0x3F0442284000E30"
"25821000";"1627900";"3296";"163.2";"0x2BF101AF8C000E30"
"26904000";"1627900";"3296";"168.5";"0x3F101A884000E30"
"27808000";"1627900";"3296";"173.4";"0xBF0441A84000E30"
"28642000";"1627900";"3296";"178.4";"0x3F101AA84000E30"
"29474000";"1638800";"3296";"182.9";"0x2BF101AF8C000E30"
"30308000";"1638800";"3296";"187.4";"0xBF0440284000E30"
"31391000";"1638800";"3296";"192.7";"0x2BF101AF8C000E30"
"32289000";"1638800";"3296";"197.7";""
"33122000";"1638800";"3296";"202.2";""
"33954000";"1638800";"3296";"206.8";"0x3F0442484000E30"
"34794000";"1638800";"3296";"211.7";"0x2BF101AF8C000E30"
"35876000";"1638800";"3296";"216.6";""
"36774000";"1638800";"3296";"221.5";"0x3F0442284000E30"
"37608000";"1638800";"3296";"226.5";"0x2BF101AF8C000E30"
"38441000";"1638800";"3296";"231.0";""
"39274000";"1628000";"3296";"235.5";"0xBF0440E84000E30"
"40357000";"1628000";"3296";"240.8";"0x2BF101B084000E30"
"41256000";"1628000";"3296";"245.8";"0x2BF101AF8C000E30"
"42089000";"1628000";"3296";"250.3";"0x8AF101B084000E30"
"43220000";"1628000";"3296";"259.8";"0x3F0442284000E30"
"44053000";"1628000";"3296";"264.7";"0x2BF101AF8C000E30"
"45142000";"1628000";"3297";"269.7";"0x3F101A484000E30"
"46040000";"1628000";"3297";"274.6";"0xBF0441284000E30"
"46873000";"1628000";"3297";"279.5";"0x3F101A484000E30"
"47706000";"1628000";"3297";"284.4";"0x2BF101AF8C000E30"
"48540000";"1747700";"3297";"289.0";"0xBF0440284000E30"
"49615000";"1747700";"3297";"294.3";"0x2BF101AF8C000E30"
"50519000";"1747700";"3297";"298.8";""
"51353000";"1747700";"3297";"303.4";""
"52186000";"1747700";"3297";"307.9";"0x3F0442484000E30"
"53020000";"1747700";"3296";"312.8";"0x2BF101AF8C000E30"
"54103000";"1747700";"3296";"318.1";""
"55008000";"1747700";"3296";"322.7";"0x3F0442284000E30"
"55841000";"1747700";"3297";"327.6";"0x2BF101AF8C000E30"
"56674000";"1747700";"3297";"332.2";""
"57508000";"1747700";"3296";"336.7";"0xBF0440A84000E30"
"58583000";"1599800";"3297";"342.0";"0x2BF101AE8C000E30"
"59489000";"1599800";"3297";"346.9";"0x2BF101AF8C000E30"
"60322000";"1599800";"3297";"351.5";"0xBF101B084000E30"
"61156000";"1599800";"3297";"356.4";"0x3F1010084000E30"
"61990000";"1599800";"3297";"361.3";"0x2BF101AF8C000E30"
"63072000";"1599800";"3297";"366.2";""
"63970000";"1599800";"3297";"371.2";"0x3F0442284000E30"
"64810000";"1599800";"3297";"376.1";"0x2BF101AF8C000E30"
"65644000";"1599800";"3297";"380.6";""
"66477000";"1599800";"3297";"385.2";"0xBF0441884000E30"
"67559000";"1599800";"3297";"390.5";""
"68458000";"1638900";"3297";"395.4";"0x2BF101AF8C000E30"
"69295000";"1638900";"3297";"400.0";"0xBF0440A84000E30"
"70129000";"1638900";"3297";"404.9";""
"71478000";"1638900";"3297";"423.6";"0x2BF101AF8C000E30"
"72560000";"1638900";"3297";"428.5";""
"73458000";"1638900";"3297";"433.0";""
"74292000";"1638900";"3297";"437.9";""
"75129000";"1638900";"3297";"442.5";"0x3F0442284000E30"
"75963000";"2099500";"3297";"447.4";"0x2BF101AF8C000E30"
"77046000";"2099500";"3297";"452.3";"0x3F100FC84000E30"
"77945000";"2099500";"3297";"457.3";"0xBF0440A84000E30"
"78779000";"2099500";"3297";"462.2";"0x3F101A084000E30"
"79612000";"2099500";"3297";"467.1";"0x2BF101AF8C000E30"
"80445000";"2099500";"3297";"471.7";"0x2BF101B084000E30"
"81527000";"2099500";"3298";"477.0";"0x2BF101AF8C000E30"
"82425000";"2099500";"3297";"481.5";""
"83259000";"2099500";"3297";"486.0";""
"84091000";"2099500";"3297";"490.6";"0x3F0442284000E30"
"84931000";"2099500";"3297";"495.5";"0x2BF101AF8C000E30"
"86013000";"1610100";"3297";"500.8";"0x3F101A084000E30"
"86912000";"1610100";"3297";"505.7";"0xBF0441284000E30"
"87746000";"1610100";"3297";"510.7";"0x3F101A484000E30"
"88579000";"1610100";"3297";"515.2";"0x2BF101AF8C000E30"
"89412000";"1610100";"3297";"519.8";"0xBF0440284000E30"
"90495000";"1610100";"3297";"525.1";"0x2BF101AF8C000E30"
"91394000";"1610100";"3297";"530.0";""
"92226000";"1610100";"3297";"534.5";""
"93059000";"1610100";"3297";"539.1";"0x3F0442284000E30"
"93892000";"1610100";"3297";"544.0";"0x2BF101AF8C000E30"
"94980000";"1610100";"3297";"548.9";"0x3F101AA84000E30"
"95879000";"1628700";"3297";"553.8";""
"96714000";"1628700";"3297";"558.8";"0x2BF101AF8C000E30"
"97547000";"1628700";"3297";"563.3";""
"98380000";"1628700";"3297";"567.9";"0xBF0440684000E30"
"99462000";"1628700";"3296";"573.2";"0x2BF101AF8C000E30"
"100361000";"1628700";"3296";"578.1";""
"101195000";"1628700";"3296";"582.6";""
"102027000";"1628700";"3296";"587.2";"0x3F101B084000E30"
"102861000";"1628700";"3296";"592.1";"0x2BF101AF8C000E30"
"103943000";"1628700";"3296";"597.4";"0x23F101AE8C000E30"
"104848000";"1628700";"3296";"601.9";"0x3F0442284000E30"
"105682000";"1639400";"3296";"606.9";"0x2BF101AF8C000E30"
"106514000";"1639400";"3296";"611.4";""
"107348000";"1639400";"3296";"616.0";"0xBF0441284000E30"
"108431000";"1639400";"3296";"621.3";""
"109330000";"1639400";"3296";"626.2";"0x2BF101AF8C000E30"
"110162000";"1639400";"3296";"630.7";"0xBF101B084000E30"
"111001000";"1639400";"3296";"635.7";"0x3F100FC84000E30"
"111835000";"1639400";"3296";"640.6";"0x2BF101AF8C000E30"
"112918000";"1639400";"3296";"645.5";""
"113815000";"1639400";"3296";"650.0";"0x3F0442484000E30"
"114655000";"1639400";"3296";"655.0";"0x2BF101AF8C000E30"
"115488000";"1626900";"3296";"659.5";""
"116321000";"1626900";"3296";"664.1";"0x3F0442284000E30"
