Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"0";"0";"3293";"4.1"
"277000";"0";"3295";"5.2"
"489000";"0";"3297";"5.6"
"702000";"0";"3296";"6.3"
"914000";"0";"3295";"7.1"
"1325000";"0";"3296";"8.6"
"1602000";"0";"3295";"9.4"
"1815000";"0";"3295";"10.1"
"2027000";"0";"3295";"10.9"
"2240000";"0";"3295";"11.6"
"2650000";"0";"3295";"12.7"
"2929000";"0";"3295";"13.9"
"3141000";"0";"3296";"14.3"
"3354000";"0";"3296";"15.0"
"3567000";"0";"3296";"15.8"
"3977000";"0";"3296";"17.3"
"4255000";"0";"3296";"18.0"
"4467000";"0";"3295";"18.8"
"4681000";"0";"3296";"19.5"
"4892000";"0";"3296";"20.3"
"5303000";"0";"3295";"21.4"
"5580000";"0";"3296";"22.5"
"5793000";"0";"3296";"23.3"
"6005000";"0";"3296";"23.7"
"6218000";"0";"3296";"24.4"
"6628000";"0";"3296";"25.9"
"6912000";"0";"3296";"26.7"
"7125000";"0";"3296";"27.4"
"7337000";"0";"3296";"28.2"
"7550000";"0";"3296";"28.9"
"7961000";"0";"3296";"30.1"
"8239000";"0";"3296";"31.2"
"8452000";"0";"3296";"32.0"
"8665000";"0";"3296";"32.3"
"8878000";"0";"3297";"33.1"
"9288000";"0";"3297";"34.6"
"9566000";"0";"3297";"35.3"
"9779000";"0";"3296";"36.1"
"9992000";"0";"3296";"36.8"
"10204000";"0";"3296";"37.6"
"10615000";"0";"3296";"38.7"
"10892000";"0";"3297";"39.9"
"11106000";"0";"3297";"40.6"
"11319000";"0";"3297";"41.4"
"11530000";"0";"3297";"41.7"
"11941000";"0";"3297";"43.2"
"12218000";"0";"3297";"44.0"
"12432000";"0";"3297";"44.8"
"12645000";"0";"3297";"45.5"
"12858000";"0";"3297";"46.3"
"13268000";"0";"3297";"47.8"
"13546000";"0";"3297";"48.5"
"13758000";"0";"3297";"49.3"
"13970000";"992000";"3297";"50.0"
"14183000";"992000";"3297";"50.4"
"14593000";"992000";"3297";"51.9"
"14871000";"992000";"3297";"52.7"
"15083000";"992000";"3297";"53.4"
"15330000";"992000";"3297";"54.2"
"15543000";"992000";"3297";"54.9"
"15952000";"992000";"3297";"56.4"
"16229000";"992000";"3297";"57.2"
"16442000";"992000";"3297";"57.9"
"16654000";"992000";"3297";"58.7"
"16873000";"992000";"3297";"59.4"
"17283000";"992000";"3297";"60.6"
"17561000";"992000";"3297";"61.7"
"17774000";"992000";"3297";"62.5"
"17986000";"992000";"3298";"62.8"
"18198000";"992000";"3298";"63.6"
"18608000";"992000";"3298";"65.1"
"18887000";"992000";"3298";"65.8"
"19098000";"992000";"3298";"66.6"
"19311000";"992000";"3297";"67.3"
"19524000";"992000";"3297";"68.1"
"19934000";"992000";"3298";"69.2"
"20213000";"992000";"3298";"70.4"
"20426000";"992000";"3298";"71.1"
"20638000";"992000";"3298";"71.9"
"20851000";"992000";"3298";"72.2"
"21262000";"992000";"3298";"73.7"
"21540000";"992000";"3298";"74.5"
"21753000";"992000";"3298";"75.2"
"21965000";"992000";"3298";"76.0"
"22178000";"992000";"3298";"76.8"
"22587000";"992000";"3298";"77.9"
"22865000";"992000";"3298";"79.0"
"23078000";"992000";"3298";"79.8"
"23290000";"992000";"3298";"80.5"
"23502000";"992000";"3298";"80.9"
"23911000";"992000";"3298";"82.4"
"24189000";"992000";"3298";"83.2"
"24401000";"992000";"3298";"83.9"
"24615000";"992000";"3298";"84.7"
"24827000";"992000";"3298";"85.4"
"25237000";"992000";"3298";"86.5"
"25514000";"992000";"3298";"87.7"
"25727000";"992000";"3298";"88.4"
"25939000";"992000";"3298";"89.2"
"26152000";"992000";"3299";"89.6"
"26562000";"992000";"3299";"91.1"
"26846000";"992000";"3299";"91.8"
"27058000";"992000";"3299";"92.6"
"27270000";"992000";"3299";"93.3"
"27483000";"992000";"3298";"94.1"
"27893000";"992000";"3299";"95.6"
"28170000";"992000";"3298";"96.3"
"28382000";"992000";"3299";"97.1"
"28594000";"992000";"3298";"97.8"
"28807000";"992000";"3299";"98.2"
"29217000";"992000";"3299";"99.7"
"29496000";"984600";"3299";"100.5"
"29709000";"984600";"3299";"101.2"
"29921000";"984600";"3299";"102.0"
"30134000";"984600";"3299";"102.7"
"30544000";"984600";"3299";"104.2"
"30821000";"984600";"3299";"105.0"
"31034000";"984600";"3299";"105.7"
"31247000";"984600";"3299";"106.5"
"31459000";"984600";"3298";"107.3"
"31868000";"984600";"3298";"108.4"
"32147000";"984600";"3298";"109.1"
"32360000";"984600";"3299";"109.9"
"32573000";"984600";"3299";"110.6"
"32786000";"984600";"3298";"111.4"
"33196000";"984600";"3298";"112.9"
"33474000";"984600";"3298";"113.7"
"33686000";"984600";"3298";"114.4"
"33898000";"984600";"3298";"115.2"
"34111000";"984600";"3298";"115.9"
"34521000";"984600";"3298";"117.0"
"34800000";"984600";"3298";"118.2"
"35012000";"984600";"3298";"118.5"
"35225000";"984600";"3298";"119.3"
"35438000";"984600";"3298";"120.1"
"35849000";"984600";"3298";"121.6"
"36126000";"984600";"3298";"122.3"
"36339000";"984600";"3298";"123.1"
"36553000";"984600";"3298";"123.8"
"36771000";"984600";"3297";"124.6"
"37180000";"984600";"3297";"125.7"
"37459000";"984600";"3297";"126.8"
"37671000";"984600";"3297";"127.6"
"37883000";"984600";"3297";"128.0"
"38096000";"984600";"3297";"128.7"
"38506000";"984600";"3297";"130.2"
"38783000";"984600";"3297";"131.0"
"38995000";"984600";"3297";"131.7"
"39207000";"984600";"3297";"132.5"
"39420000";"984600";"3297";"133.2"
"39831000";"984600";"3297";"134.4"
"40109000";"984600";"3296";"135.5"
"40322000";"984600";"3296";"136.2"
"40534000";"984600";"3297";"136.6"
"40746000";"984600";"3297";"137.4"
"41156000";"984600";"3297";"138.9"
"41434000";"984600";"3297";"139.6"
"41646000";"984600";"3296";"140.4"
"41859000";"984600";"3296";"141.1"
"42071000";"984600";"3296";"141.9"
"42482000";"984600";"3296";"143.0"
"42759000";"984600";"3296";"144.2"
"42971000";"984600";"3296";"144.9"
"43184000";"984600";"3296";"145.3"
"43397000";"984600";"3296";"146.0"
"43807000";"984600";"3296";"147.5"
"44085000";"984600";"3296";"148.3"
"44297000";"984600";"3296";"149.0"
"44509000";"984600";"3296";"149.8"
"44722000";"996700";"3296";"150.6"
"45131000";"996700";"3296";"151.7"
"45409000";"996700";"3296";"152.8"
"45621000";"996700";"3296";"153.6"
"45834000";"996700";"3296";"153.9"
"46048000";"996700";"3296";"154.7"
"46458000";"996700";"3296";"156.2"
"46741000";"996700";"3296";"157.0"
"46954000";"996700";"3296";"157.7"
"47167000";"996700";"3296";"158.5"
"47379000";"996700";"3296";"159.2"
"47789000";"996700";"3296";"160.3"
"48067000";"996700";"3296";"161.5"
"48280000";"996700";"3296";"162.2"
"48493000";"996700";"3296";"162.6"
"48706000";"996700";"3296";"163.4"
"49116000";"996700";"3296";"164.9"
"49329000";"996700";"3296";"165.6"
"49606000";"996700";"3296";"166.4"
"49819000";"996700";"3296";"167.1"
"50032000";"996700";"3296";"167.9"
"50442000";"996700";"3297";"169.0"
"50720000";"996700";"3297";"170.1"
"50932000";"996700";"3297";"170.9"
"51145000";"996700";"3296";"171.6"
"51358000";"996700";"3297";"172.0"
"51769000";"996700";"3297";"173.5"
"52046000";"996700";"3297";"174.3"
"52259000";"996700";"3297";"175.0"
"52473000";"996700";"3297";"175.8"
"52686000";"996700";"3297";"176.5"
"53095000";"996700";"3297";"178.0"
"53374000";"996700";"3297";"178.8"
"53586000";"996700";"3297";"179.5"
"53799000";"996700";"3297";"180.3"
"54011000";"996700";"3297";"181.1"
"54420000";"996700";"3297";"182.2"
"54698000";"996700";"3297";"182.9"
"54910000";"996700";"3297";"183.7"
"55122000";"996700";"3297";"184.4"
"55335000";"996700";"3297";"185.2"
"55746000";"996700";"3297";"186.7"
"56023000";"996700";"3297";"187.5"
"56236000";"996700";"3297";"188.2"
"56449000";"996700";"3297";"189.0"
"56661000";"996700";"3297";"189.7"
"57077000";"996700";"3297";"190.8"
"57359000";"996700";"3297";"192.0"
"57571000";"996700";"3297";"192.3"
"57785000";"996700";"3297";"193.1"
"57997000";"996700";"3297";"193.9"
"58407000";"996700";"3297";"195.4"
"58685000";"996700";"3297";"196.1"
"58898000";"996700";"3297";"196.9"
"59111000";"996700";"3297";"197.6"
"59323000";"996700";"3297";"198.4"
"59733000";"996700";"3297";"199.5"
"60010000";"992600";"3297";"200.6"
"60223000";"992600";"3297";"201.0"
"60435000";"992600";"3297";"201.8"
"60647000";"992600";"3297";"202.5"
"61058000";"992600";"3297";"204.0"
"61336000";"992600";"3297";"204.8"
"61549000";"992600";"3297";"205.5"
"61762000";"992600";"3296";"206.3"
