Time (ns);Current (nA);Voltage (mV);Energy (uJ);DSR
"0";"3501600";"3294";"71.9";"0x885000000C040A00"
"1199000";"3501600";"3299";"82.9";""
"2548000";"3501600";"3299";"103.1";""
"3682000";"3501600";"3298";"113.7";""
"4819000";"3324500";"3298";"124.7";""
"6325000";"3324500";"3297";"144.5";""
"7523000";"3324500";"3297";"155.5";""
"8656000";"3324500";"3298";"166.6";""
"9906000";"3626900";"3299";"185.6";"0xA85000000C040A00"
"11040000";"3626900";"3299";"196.6";""
"12531000";"3626900";"3298";"216.4";""
"13738000";"3626900";"3298";"227.8";""
"15091000";"3625100";"3298";"247.6";""
"16223000";"3625100";"3298";"258.3";""
"17355000";"3625100";"3298";"269.3";""
"18857000";"3625100";"3298";"289.1";""
"20055000";"3203500";"3297";"300.1";""
"21189000";"3203500";"3297";"311.1";""
"22441000";"3203500";"3297";"330.2";""
"23573000";"3203500";"3297";"341.2";""
"25080000";"3671900";"3296";"361.0";""
"26277000";"3671900";"3297";"372.0";"0xAA7101B284040E30"
"27410000";"3671900";"3297";"383.0";""
"28661000";"3671900";"3297";"402.1";"0xA85000000C040A00"
"29794000";"3325200";"3297";"412.7";""
"31295000";"3325200";"3297";"432.5";"0x805000000C040A00"
"32493000";"3325200";"3297";"443.9";"0xA85101B10C040A00"
"33625000";"3325200";"3297";"454.6";""
"34763000";"3200600";"3297";"465.2";""
"35895000";"3200600";"3297";"476.2";""
"37396000";"3200600";"3297";"496.0";""
"38594000";"3200600";"3297";"507.0";""
"39726000";"3227600";"3297";"518.1";""
"40978000";"3227600";"3297";"537.1";"0xA85000000C040A00"
"42110000";"3227600";"3297";"548.1";""
"43603000";"3897100";"3297";"567.9";""
"44815000";"3897100";"3297";"579.0";""
"45948000";"3897100";"3297";"590.0";""
"47199000";"3897100";"3297";"609.0";""
"48337000";"3311600";"3297";"619.7";""
"49838000";"3311600";"3297";"639.5";""
"51036000";"3311600";"3298";"650.9";""
"52170000";"3311600";"3298";"661.9";""
"53422000";"3651000";"3298";"680.9";""
"54561000";"3651000";"3298";"691.9";""
"56061000";"3651000";"3298";"711.7";"0x885000000C040A00"
"57260000";"3651000";"3298";"722.8";""
"58609000";"3601000";"3298";"742.6";""
