Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"0";"0";"3292";"4.9"
"278000";"0";"3292";"6.0"
"490000";"0";"3291";"6.8"
"708000";"0";"3293";"7.9"
"921000";"0";"3294";"8.7"
"1330000";"0";"3294";"10.2"
"1609000";"0";"3294";"11.3"
"1820000";"0";"3294";"12.1"
"2034000";"0";"3294";"12.8"
"2245000";"0";"3295";"13.6"
"2656000";"0";"3295";"15.5"
"2933000";"0";"3296";"16.6"
"3145000";"0";"3296";"17.4"
"3357000";"0";"3296";"18.1"
"3570000";"0";"3295";"18.9"
"3980000";"0";"3296";"20.4"
"4258000";"0";"3296";"21.6"
"4471000";"0";"3296";"22.3"
"4684000";"0";"3296";"23.5"
"4896000";"0";"3296";"24.2"
"5305000";"0";"3296";"25.7"
"5582000";"0";"3296";"26.9"
"5794000";"0";"3296";"27.6"
"6007000";"0";"3296";"28.4"
"6220000";"0";"3296";"29.5"
"6630000";"0";"3296";"31.0"
"6908000";"0";"3296";"32.2"
"7120000";"0";"3296";"32.9"
"7333000";"0";"3296";"33.7"
"7545000";"0";"3297";"34.5"
"7956000";"0";"3297";"36.3"
"8233000";"0";"3297";"37.5"
"8444000";"0";"3297";"38.2"
"8658000";"0";"3297";"39.0"
"8869000";"0";"3297";"39.8"
"9280000";"0";"3297";"41.3"
"9559000";"0";"3297";"42.4"
"9771000";"0";"3297";"43.6"
"9984000";"0";"3297";"44.3"
"10195000";"0";"3297";"45.1"
"10605000";"0";"3297";"46.6"
"10888000";"0";"3297";"47.7"
"11100000";"0";"3297";"48.5"
"11312000";"0";"3297";"49.2"
"11525000";"1189300";"3297";"50.4"
"11936000";"1189300";"3297";"51.9"
"12213000";"1189300";"3297";"53.0"
"12430000";"1189300";"3297";"53.8"
"12643000";"1189300";"3297";"54.5"
"12856000";"1189300";"3297";"55.3"
"13266000";"1189300";"3297";"57.2"
"13544000";"1189300";"3297";"58.3"
"13756000";"1189300";"3297";"59.1"
"13968000";"1189300";"3297";"59.9"
"14179000";"1189300";"3297";"60.6"
"14590000";"1189300";"3297";"62.1"
"14869000";"1189300";"3297";"63.3"
"15081000";"1189300";"3297";"64.0"
"15293000";"1189300";"3298";"65.2"
"15506000";"1189300";"3297";"65.9"
"15916000";"1189300";"3297";"67.4"
"16194000";"1189300";"3297";"68.6"
"16407000";"1189300";"3297";"69.3"
"16619000";"1189300";"3297";"70.1"
"16832000";"1189300";"3297";"71.2"
"17242000";"1189300";"3297";"72.7"
"17519000";"1189300";"3297";"73.9"
"17731000";"1189300";"3297";"74.6"
"17943000";"1189300";"3297";"75.4"
"18156000";"1189300";"3297";"76.2"
"18566000";"1189300";"3297";"77.7"
"18844000";"1189300";"3297";"78.8"
"19056000";"1189300";"3298";"79.6"
"19269000";"1189300";"3297";"80.7"
"19482000";"1189300";"3297";"81.5"
"19883000";"1189300";"3297";"83.0"
"20103000";"1189300";"3297";"83.7"
"20381000";"1189300";"3297";"84.9"
"20594000";"1189300";"3297";"85.6"
"20812000";"1189300";"3297";"86.8"
"21223000";"1189300";"3297";"88.3"
"21500000";"1189300";"3297";"89.4"
"21712000";"1189300";"3297";"90.2"
"21924000";"1189300";"3297";"90.9"
"22137000";"1189300";"3297";"91.7"
