Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"0";"0";"3292";"1.4"
"278000";"0";"3292";"1.8"
"490000";"0";"3293";"2.2"
"704000";"0";"3294";"2.5"
"915000";"0";"3293";"2.5"
"1326000";"0";"3294";"3.3"
"1604000";"0";"3294";"3.6"
"1816000";"0";"3296";"3.6"
"2028000";"0";"3296";"4.0"
"2240000";"0";"3296";"4.4"
"2650000";"0";"3296";"4.7"
"2928000";"0";"3295";"5.1"
"3141000";"0";"3296";"5.5"
"3353000";"0";"3296";"5.9"
"3566000";"0";"3296";"5.9"
"3976000";"0";"3296";"6.6"
"4254000";"0";"3296";"7.0"
"4466000";"0";"3296";"7.0"
"4684000";"0";"3296";"7.3"
"4897000";"0";"3296";"7.7"
"5306000";"0";"3296";"8.1"
"5585000";"0";"3296";"8.4"
"5797000";"0";"3296";"8.8"
"6010000";"0";"3296";"8.8"
"6223000";"0";"3296";"9.2"
"6633000";"0";"3296";"9.9"
"6910000";"0";"3297";"10.3"
"7123000";"0";"3297";"10.3"
"7335000";"0";"3297";"10.7"
"7546000";"0";"3297";"11.0"
"7957000";"0";"3296";"11.4"
"8234000";"0";"3296";"11.8"
"8448000";"0";"3296";"12.1"
"8660000";"0";"3296";"12.1"
"8872000";"0";"3296";"12.5"
"9283000";"0";"3297";"12.9"
"9562000";"0";"3297";"13.2"
"9774000";"0";"3297";"13.6"
"9986000";"0";"3297";"14.0"
"10199000";"0";"3297";"14.3"
"10608000";"0";"3297";"14.7"
"10885000";"0";"3297";"15.1"
"11098000";"0";"3297";"15.5"
"11312000";"0";"3297";"15.5"
"11525000";"0";"3297";"15.8"
"11934000";"0";"3297";"16.2"
"12212000";"0";"3297";"16.6"
"12425000";"0";"3297";"16.9"
"12638000";"0";"3297";"17.3"
"12850000";"0";"3297";"17.3"
"13260000";"0";"3297";"18.0"
"13538000";"0";"3297";"18.4"
"13751000";"0";"3297";"18.4"
"13964000";"0";"3297";"18.8"
"14177000";"0";"3297";"19.1"
"14592000";"0";"3297";"19.5"
"14871000";"0";"3297";"19.9"
"15084000";"0";"3297";"20.2"
"15296000";"0";"3297";"20.6"
"15509000";"0";"3297";"20.6"
"15920000";"0";"3297";"21.4"
"16197000";"0";"3297";"21.7"
"16410000";"0";"3297";"21.7"
"16624000";"0";"3297";"22.1"
"16837000";"0";"3297";"22.5"
"17247000";"0";"3297";"22.8"
"17525000";"0";"3297";"23.2"
"17738000";"0";"3297";"23.6"
"17950000";"0";"3297";"23.9"
"18162000";"0";"3297";"23.9"
"18572000";"0";"3297";"24.7"
"18851000";"0";"3297";"25.0"
