Time (ns);Current (nA);Voltage (mV);Energy (uJ);DSR
"0";"2186000";"3299";"40.8";"0x82E0000000000E30"
"1198000";"2186000";"3297";"49.6";""
"2331000";"2186000";"3297";"58.6";""
"3469000";"2186000";"3298";"67.7";""
"4602000";"2186000";"3298";"76.4";""
"5675000";"2186000";"3298";"81.7";""
"6874000";"2186700";"3298";"90.4";""
"8006000";"2186700";"3298";"99.5";""
"9139000";"2186700";"3297";"108.2";""
"10271000";"2186700";"3297";"117.3";""
"11349000";"2186700";"3298";"122.6";""
"12547000";"2186700";"3297";"131.3";""
"13686000";"2223500";"3297";"140.4";""
"14817000";"2223500";"3298";"149.5";""
"15951000";"2223500";"3297";"158.2";""
"17023000";"2223500";"3297";"163.5";""
"18221000";"2223500";"3297";"172.6";""
"19354000";"2223500";"3297";"181.3";""
"20486000";"2227300";"3297";"190.4";""
"21618000";"2227300";"3297";"199.1";""
"22691000";"2227300";"3297";"204.4";""
"23894000";"2227300";"3297";"213.1";""
"25027000";"2227300";"3297";"222.2";""
"26159000";"2227300";"3297";"230.9";""
"27291000";"2209000";"3297";"240.0";""
"28364000";"2209000";"3297";"244.9";""
"29563000";"2209000";"3297";"254.0";""
"30696000";"2209000";"3297";"263.1";""
"31828000";"2209000";"3297";"271.8";""
"32961000";"2209000";"3297";"280.9";""
"34031000";"2209000";"3297";"286.2";""
"35237000";"2093000";"3297";"294.9";""
"36371000";"2093000";"3297";"304.0";""
"37502000";"2093000";"3297";"312.7";""
"38635000";"2093000";"3297";"321.8";""
"39708000";"2093000";"3297";"327.1";""
"40905000";"2093000";"3297";"335.8";""
"42038000";"2227300";"3297";"344.9";""
"43170000";"2227300";"3297";"353.6";""
"44308000";"2227300";"3297";"362.7";""
"45380000";"2227300";"3297";"367.6";""
"46578000";"2227300";"3297";"376.7";""
"47711000";"2227300";"3297";"385.4";""
"48844000";"2208600";"3297";"394.5";""
"49975000";"2208600";"3297";"403.2";""
"51041000";"2208600";"3297";"408.5";""
"52247000";"2208600";"3297";"417.6";""
"53389000";"2208600";"3297";"426.7";""
"54522000";"2208600";"3297";"435.4";""
"55655000";"2223700";"3297";"444.5";""
"56729000";"2223700";"3297";"449.8";""
"57927000";"2223700";"3297";"458.5";""
"59060000";"2223700";"3296";"467.6";""
"60192000";"2223700";"3296";"476.3";""
"61325000";"2223700";"3296";"485.4";""
"62398000";"2223700";"3296";"490.3";""
"63601000";"2093000";"3296";"499.4";""
"64733000";"2093000";"3296";"508.4";""
"65867000";"2093000";"3296";"517.2";""
"67000000";"2093000";"3296";"525.9";""
"68073000";"2093000";"3296";"531.2";""
"69270000";"2093000";"3296";"540.2";""
"70403000";"2209900";"3296";"549.0";""
"71536000";"2209900";"3296";"558.0";""
"72669000";"2209900";"3296";"566.8";""
"73747000";"2209900";"3296";"572.0";""
"74945000";"2209900";"3296";"581.1";""
"76078000";"2209900";"3296";"590.2";""
"77211000";"2224900";"3296";"598.9";""
"78343000";"2224900";"3296";"608.0";""
"79417000";"2224900";"3296";"612.9";""
"80615000";"2224900";"3296";"622.0";""
"81748000";"2224900";"3296";"631.1";""
"82879000";"2224900";"3296";"639.8";""
"84017000";"2208600";"3296";"648.5";""
"85090000";"2208600";"3296";"653.8";""
"86289000";"2208600";"3296";"662.9";""
"87421000";"2208600";"3296";"671.6";""
"88554000";"2208600";"3296";"680.7";""
"89687000";"2208600";"3296";"689.4";""
"90760000";"2208600";"3296";"694.7";""
"91959000";"2108600";"3296";"703.8";""
"93091000";"2108600";"3296";"712.5";""
"94229000";"2108600";"3296";"721.6";""
"95367000";"2108600";"3296";"730.7";""
"96440000";"2108600";"3296";"735.6";""
"97638000";"2108600";"3296";"744.7";""
"98771000";"2223500";"3296";"753.8";""
"99905000";"2223500";"3296";"762.5";""
"101036000";"2223500";"3296";"771.6";""
"102110000";"2223500";"3296";"776.5";""
"103313000";"2223500";"3296";"785.6";""
"104444000";"2223500";"3296";"794.3";""
"105577000";"2208600";"3296";"803.4";""
"106710000";"2208600";"3296";"812.1";""
"107784000";"2208600";"3296";"817.4";""
"108982000";"2208600";"3296";"826.5";""
"110114000";"2208600";"3296";"835.2";""
"111247000";"2208600";"3296";"844.3";""
"112380000";"2209700";"3296";"853.0";""
"113459000";"2209700";"3296";"858.3";""
"114657000";"2209700";"3296";"867.4";""
"115790000";"2209700";"3296";"876.5";""
"116923000";"2209700";"3296";"885.2";""
"118056000";"2209700";"3296";"894.3";""
"119130000";"2209700";"3296";"899.6";""
"120328000";"2106800";"3296";"908.3";""
"121460000";"2106800";"3296";"917.4";""
"122593000";"2106800";"3296";"926.1";""
"123730000";"2106800";"3296";"934.8";""
"124804000";"2106800";"3296";"940.1";""
"126002000";"2106800";"3296";"949.2";""
"127135000";"2208400";"3296";"957.9";""
"128267000";"2208400";"3296";"967.0";""
"129399000";"2208400";"3296";"975.7";""
"130473000";"2208400";"3296";"981.0";""
"131670000";"2208400";"3296";"990.0";""
"132803000";"2208400";"3296";"998.8";""
"133941000";"2225400";"3296";"1007.8";""
"135074000";"2225400";"3296";"1016.9";""
"136147000";"2225400";"3296";"1021.8";""
"137350000";"2225400";"3296";"1030.9";""
"138483000";"2225400";"3296";"1040.0";""
"139615000";"2225400";"3296";"1048.7";""
"140748000";"2225200";"3296";"1057.8";""
"141820000";"2225200";"3296";"1062.7";""
"143020000";"2225200";"3296";"1071.8";""
"144157000";"2225200";"3296";"1080.9";""
"145290000";"2225200";"3296";"1089.6";""
"146422000";"2225200";"3296";"1098.7";""
"147496000";"2225200";"3297";"1103.6";""
"148693000";"2093300";"3296";"1112.7";""
"149825000";"2093300";"3296";"1121.4";""
"150957000";"2093300";"3297";"1130.5";""
"152090000";"2093300";"3296";"1139.2";""
"153163000";"2093300";"3296";"1144.5";""
"154367000";"2093300";"3296";"1153.6";""
"155500000";"2225400";"3296";"1162.7";""
"156632000";"2225400";"3296";"1171.4";""
"157765000";"2225400";"3296";"1180.5";""
"158838000";"2225400";"3296";"1185.8";""
"160036000";"2225400";"3296";"1194.5";""
"161169000";"2225400";"3296";"1203.6";""
"162301000";"2209900";"3296";"1212.3";""
"163441000";"2209900";"3296";"1221.4";""
"164514000";"2209900";"3296";"1226.7";""
"165711000";"2209900";"3296";"1235.4";""
"166845000";"2209900";"3296";"1244.5";""
"167978000";"2209900";"3296";"1253.2";""
"169109000";"2224900";"3296";"1262.3";""
"170183000";"2224900";"3297";"1267.6";""
"171381000";"2224900";"3297";"1276.7";""
"172514000";"2224900";"3297";"1285.4";""
"173652000";"2224900";"3297";"1294.5";""
"174783000";"2224900";"3297";"1303.2";""
"175857000";"2224900";"3296";"1308.5";""
"177054000";"2107900";"3296";"1317.6";""
"178187000";"2107900";"3296";"1326.6";""
"179324000";"2107900";"3296";"1335.4";""
"180458000";"2107900";"3296";"1344.5";""
"181530000";"2107900";"3296";"1349.4";""
"182728000";"2107900";"3296";"1358.4";""
"183866000";"2223700";"3297";"1367.5";""
"184998000";"2223700";"3297";"1376.2";""
