Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"0";"0";"3292";"40.1"
"1080000";"0";"3295";"48.4"
"2160000";"2185500";"3296";"56.4"
"3244000";"2185500";"3295";"64.3"
"4325000";"2185500";"3296";"72.7"
"5668000";"2185500";"3296";"81.0"
"6747000";"2185500";"3297";"88.9"
"7827000";"2185500";"3297";"96.9"
"8907000";"2185500";"3296";"104.8"
"9987000";"2184100";"3296";"112.8"
"11330000";"2184100";"3296";"121.1"
"12410000";"2184100";"3296";"129.1"
"13497000";"2184100";"3296";"137.0"
"14577000";"2184100";"3295";"145.0"
"15658000";"2184100";"3296";"153.3"
"17000000";"2184100";"3296";"161.6"
"18079000";"2126400";"3296";"169.6"
"19159000";"2126400";"3296";"177.5"
"20238000";"2126400";"3296";"185.5"
"21319000";"2126400";"3296";"193.8"
"22663000";"2126400";"3296";"202.1"
"23748000";"2126400";"3296";"210.1"
"24828000";"2126400";"3296";"218.0"
"25908000";"2198300";"3296";"226.4"
"26988000";"2198300";"3296";"234.3"
"28331000";"2198300";"3296";"242.6"
"29411000";"2198300";"3296";"250.6"
"30491000";"2198300";"3296";"258.5"
"31571000";"2198300";"3296";"266.5"
"32652000";"2198300";"3296";"274.4"
"34001000";"2111900";"3296";"282.8"
"35086000";"2111900";"3296";"290.7"
"36167000";"2111900";"3296";"298.7"
"37246000";"2111900";"3296";"307.0"
"38327000";"2111900";"3296";"314.9"
"39669000";"2111900";"3296";"323.3"
"40750000";"2111900";"3296";"331.2"
"41829000";"2183900";"3296";"339.2"
"42915000";"2183900";"3296";"347.5"
"43995000";"2183900";"3296";"355.5"
"45338000";"2183900";"3296";"363.8"
"46418000";"2183900";"3296";"371.7"
"47497000";"2183900";"3296";"379.7"
"48578000";"2183900";"3296";"388.0"
"49658000";"2198300";"3296";"396.0"
"51001000";"2198300";"3296";"405.4"
"52082000";"2198300";"3296";"413.8"
"53167000";"2198300";"3296";"421.7"
"54247000";"2198300";"3296";"429.7"
