Time (ns);Current (nA);Voltage (mV);Energy (uJ);DSR
"0";"1554800";"3295";"23.0";"0x3E1004280000E30"
"900000";"1554800";"3293";"27.5";""
"1733000";"1554800";"3292";"32.0";""
"2567000";"1554800";"3292";"36.6";""
"3401000";"1554800";"3292";"41.1";""
"4484000";"1554800";"3292";"46.0";""
"5385000";"1554800";"3293";"50.9";""
"6219000";"1554800";"3294";"55.5";""
"7053000";"1554800";"3295";"60.0";""
"7887000";"1554800";"3295";"64.5";""
"8975000";"1554800";"3295";"69.4";""
"9874000";"1564400";"3295";"74.0";""
"10708000";"1564400";"3295";"78.5";""
"11542000";"1564400";"3295";"83.0";""
"12381000";"1564400";"3295";"87.6";""
"13465000";"1564400";"3295";"92.5";""
"14363000";"1564400";"3295";"97.4";""
"15197000";"1564400";"3295";"101.9";""
"16031000";"1564400";"3295";"106.4";""
"16865000";"1564400";"3295";"111.0";""
"17949000";"1564400";"3295";"115.9";""
"18854000";"1564400";"3295";"120.8";""
"19687000";"1586000";"3295";"125.3";""
"20521000";"1586000";"3295";"129.8";""
"21355000";"1586000";"3295";"134.4";""
"22439000";"1586000";"3295";"139.3";""
"23339000";"1586000";"3295";"143.8";""
"24173000";"1586000";"3295";"148.3";""
"25007000";"1586000";"3295";"152.9";""
"25841000";"1586000";"3295";"157.4";""
"26925000";"1586000";"3295";"162.3";""
"27824000";"1586000";"3295";"166.8";""
"28657000";"1586000";"3295";"171.4";""
"29496000";"1574900";"3296";"176.3";""
"30330000";"1574900";"3296";"180.8";""
"31414000";"1574900";"3296";"185.7";""
"32313000";"1574900";"3296";"190.3";""
"33147000";"1574900";"3296";"194.8";""
"33982000";"1574900";"3296";"199.3";""
"34816000";"1574900";"3296";"203.9";""
"35899000";"1574900";"3296";"209.1";""
"36798000";"1574900";"3296";"213.7";""
"37632000";"1574900";"3296";"218.2";""
"38465000";"1574900";"3296";"222.7";""
"39304000";"1575000";"3296";"227.3";""
"40388000";"1575000";"3296";"232.2";""
"41287000";"1575000";"3296";"236.7";""
"42121000";"1575000";"3296";"241.6";""
"42956000";"1575000";"3296";"246.2";""
"43790000";"1575000";"3296";"250.3";""
"44874000";"1575000";"3296";"255.2";""
"45774000";"1575000";"3296";"260.1";""
"46608000";"1575000";"3297";"264.7";""
"47441000";"1575000";"3297";"269.2";""
"48275000";"1575000";"3297";"273.7";""
"49357000";"1547900";"3297";"278.6";""
"50263000";"1547900";"3297";"283.1";""
"51097000";"1547900";"3297";"287.7";""
"51932000";"1547900";"3297";"292.6";""
"52766000";"1547900";"3297";"297.1";""
"53855000";"1547900";"3297";"302.0";""
"54754000";"1547900";"3297";"306.6";""
"55589000";"1547900";"3297";"311.1";""
"56422000";"1547900";"3297";"315.6";""
"57256000";"1547900";"3297";"320.2";""
"58340000";"1547900";"3297";"325.4";""
"59245000";"1573900";"3297";"330.0";""
"60079000";"1573900";"3297";"334.5";""
"60912000";"1573900";"3297";"339.0";""
"61746000";"1573900";"3297";"343.6";""
"62830000";"1573900";"3297";"348.5";""
"63728000";"1573900";"3297";"353.0";""
"64563000";"1573900";"3297";"357.5";""
"65397000";"1573900";"3297";"362.1";""
"66231000";"1573900";"3297";"366.6";""
"67314000";"1573900";"3297";"371.5";""
"68214000";"1573900";"3297";"376.4";""
"69055000";"1574700";"3297";"381.0";""
"69888000";"1574700";"3297";"385.5";""
"70721000";"1574700";"3297";"390.0";""
"71805000";"1574700";"3297";"394.9";""
"72703000";"1574700";"3297";"399.5";""
"73536000";"1574700";"3297";"404.0";""
"74372000";"1574700";"3297";"408.9";""
"75206000";"1574700";"3297";"413.4";""
"76289000";"1574700";"3297";"418.3";""
"77189000";"1574700";"3297";"422.9";""
"78023000";"1574700";"3297";"427.4";""
"78863000";"1575000";"3297";"431.9";""
"79696000";"1575000";"3297";"436.8";""
"80779000";"1575000";"3297";"441.7";""
"81679000";"1575000";"3297";"446.3";""
"82512000";"1575000";"3297";"450.8";""
"83346000";"1575000";"3297";"455.3";""
"84180000";"1575000";"3297";"459.9";""
"85264000";"1575000";"3297";"464.8";""
"86162000";"1575000";"3297";"469.3";""
"86996000";"1575000";"3297";"473.8";""
"87831000";"1575000";"3296";"478.4";""
"88665000";"1576000";"3296";"482.9";""
"89754000";"1576000";"3296";"487.8";""
"90654000";"1576000";"3296";"492.7";""
"91488000";"1576000";"3296";"497.3";""
"92321000";"1576000";"3296";"501.8";""
"93156000";"1576000";"3296";"506.3";""
"94239000";"1576000";"3296";"511.2";""
"95138000";"1576000";"3296";"516.1";""
"95978000";"1576000";"3296";"520.7";""
"96811000";"1576000";"3296";"525.2";""
"97645000";"1576000";"3296";"529.7";""
"98729000";"1557500";"3296";"534.6";""
"99633000";"1557500";"3296";"539.2";""
"100467000";"1557500";"3296";"544.1";""
"101300000";"1557500";"3296";"548.6";""
"102134000";"1557500";"3296";"553.1";""
"103216000";"1557500";"3296";"558.1";""
"104116000";"1557500";"3296";"562.6";""
"104950000";"1557500";"3296";"567.1";""
"105783000";"1557500";"3296";"571.6";""
"106617000";"1557500";"3296";"576.2";""
"107700000";"1557500";"3296";"581.1";""
"108598000";"1565100";"3296";"585.6";""
"109438000";"1565100";"3296";"590.1";""
"110272000";"1565100";"3296";"594.7";""
"111106000";"1565100";"3296";"599.2";""
"112189000";"1565100";"3296";"604.5";""
"113089000";"1565100";"3296";"609.0";""
"113922000";"1565100";"3296";"613.6";""
"114756000";"1565100";"3296";"618.1";""
"115590000";"1565100";"3296";"622.6";""
"116674000";"1565100";"3297";"627.9";""
"117573000";"1565100";"3297";"632.4";""
"118406000";"1586800";"3296";"637.0";""
"119246000";"1586800";"3296";"641.5";""
"120080000";"1586800";"3296";"646.0";""
"121165000";"1586800";"3296";"650.9";""
"122065000";"1586800";"3296";"655.9";""
"122898000";"1586800";"3296";"660.4";""
"123732000";"1586800";"3296";"664.9";""
"124565000";"1586800";"3296";"669.1";""
"125648000";"1586800";"3296";"674.4";""
"126548000";"1586800";"3297";"678.9";""
"127381000";"1586800";"3297";"683.4";""
"128214000";"1575000";"3297";"688.0";""
"129053000";"1575000";"3297";"692.5";""
"130137000";"1575000";"3297";"697.4";""
"131037000";"1575000";"3297";"701.9";""
"131871000";"1575000";"3297";"706.4";""
"132705000";"1575000";"3297";"711.0";""
"133540000";"1575000";"3297";"715.9";""
"134623000";"1575000";"3297";"720.8";""
"135522000";"1575000";"3297";"725.3";""
"136356000";"1575000";"3297";"729.9";""
"137190000";"1575000";"3297";"734.4";""
"138029000";"1585800";"3297";"739.3";""
"139118000";"1585800";"3297";"744.2";""
"140018000";"1585800";"3297";"748.7";""
"140851000";"1585800";"3297";"753.3";""
"141686000";"1585800";"3297";"757.8";""
"142519000";"1585800";"3297";"762.3";""
"143603000";"1585800";"3297";"767.2";""
"144503000";"1585800";"3297";"771.8";""
"145337000";"1585800";"3297";"776.3";""
"146171000";"1585800";"3297";"780.8";""
"147006000";"1585800";"3296";"785.4";""
"148089000";"1535100";"3296";"790.3";""
"148995000";"1535100";"3296";"795.2";""
"149828000";"1535100";"3296";"799.7";""
"150662000";"1535100";"3296";"804.3";""
"151496000";"1535100";"3296";"808.8";""
"152571000";"1535100";"3296";"813.7";""
"153478000";"1535100";"3297";"818.2";""
"154311000";"1535100";"3297";"823.1";""
"155145000";"1535100";"3297";"827.7";""
"155980000";"1535100";"3297";"832.2";""
"157063000";"1535100";"3297";"837.1";""
"157963000";"1576200";"3297";"841.6";""
"158802000";"1576200";"3297";"846.2";""
"159636000";"1576200";"3297";"851.1";""
"160471000";"1576200";"3297";"855.6";""
"161554000";"1576200";"3297";"860.5";""
"162453000";"1576200";"3297";"865.0";""
"163287000";"1576200";"3297";"869.6";""
