Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"0";"0";"3293";"40.8"
"1079000";"0";"3293";"49.2"
"2158000";"2231300";"3295";"57.5"
"3244000";"2231300";"3295";"65.5"
"4322000";"2231300";"3296";"73.8"
"5664000";"2231300";"3296";"83.6"
"6744000";"2231300";"3296";"91.6"
"7824000";"2231300";"3296";"99.9"
"8903000";"2263100";"3296";"107.9"
"9982000";"2263100";"3296";"115.8"
"11323000";"2263100";"3297";"126.1"
"12409000";"2263100";"3297";"134.0"
"13489000";"2263100";"3297";"142.3"
"14567000";"2263100";"3297";"150.3"
"15647000";"2280300";"3297";"158.6"
"16989000";"2280300";"3297";"168.5"
"18069000";"2280300";"3297";"176.8"
"19148000";"2280300";"3297";"184.8"
"20227000";"2280300";"3297";"193.1"
"21306000";"2280300";"3297";"201.4"
"22659000";"2275100";"3297";"211.3"
"23738000";"2275100";"3296";"219.2"
"24818000";"2275100";"3296";"227.6"
"25896000";"2275100";"3296";"235.5"
"26976000";"2275100";"3296";"243.8"
"28318000";"2275100";"3297";"252.2"
"29397000";"2275100";"3297";"260.1"
"30477000";"2216200";"3297";"268.4"
"31557000";"2216200";"3297";"276.4"
"32642000";"2216200";"3297";"284.7"
"33984000";"2216200";"3297";"293.1"
"35064000";"2216200";"3297";"301.4"
"36143000";"2216200";"3297";"309.3"
"37223000";"2216200";"3297";"317.7"
"38302000";"2214300";"3296";"325.6"
"39643000";"2214300";"3296";"335.9"
"40722000";"2214300";"3296";"343.8"
"41803000";"2214300";"3296";"352.1"
"42887000";"2214300";"3297";"360.1"
"43967000";"2214300";"3297";"368.4"
"45310000";"2210400";"3297";"376.7"
"46390000";"2210400";"3297";"385.1"
"47469000";"2210400";"3297";"393.0"
"48549000";"2210400";"3297";"401.4"
"49629000";"2210400";"3297";"409.3"
"50969000";"2210400";"3296";"419.2"
"52049000";"2282000";"3296";"427.5"
"53133000";"2282000";"3296";"435.4"
"54212000";"2282000";"3297";"443.8"
"55292000";"2282000";"3297";"451.7"
"56633000";"2282000";"3297";"460.4"
"57712000";"2282000";"3297";"468.4"
"58792000";"2282000";"3297";"476.7"
"59872000";"2214900";"3297";"484.7"
"60951000";"2214900";"3297";"493.0"
"62298000";"2214900";"3297";"501.7"
"63378000";"2214900";"3297";"509.7"
"64461000";"2214900";"3297";"518.0"
"65541000";"2214900";"3297";"525.9"
"66620000";"2227600";"3297";"534.3"
"67963000";"2227600";"3297";"542.6"
"69042000";"2227600";"3296";"550.5"
"70123000";"2227600";"3296";"558.9"
"71201000";"2227600";"3296";"566.8"
"72286000";"2227600";"3296";"575.2"
"73627000";"2194100";"3296";"585.0"
"74706000";"2194100";"3296";"593.0"
"75786000";"2194100";"3296";"601.3"
"76864000";"2194100";"3296";"609.2"
"77945000";"2194100";"3296";"617.6"
"79287000";"2194100";"3296";"625.9"
"80366000";"2194100";"3296";"634.2"
"81446000";"2230800";"3296";"642.6"
"82532000";"2230800";"3296";"650.5"
"83611000";"2230800";"3296";"658.9"
"84953000";"2230800";"3296";"668.7"
"86032000";"2230800";"3296";"676.7"
"87111000";"2230800";"3296";"685.0"
"88191000";"2262900";"3296";"692.9"
"89270000";"2262900";"3296";"701.3"
"90613000";"2262900";"3296";"711.1"
"91692000";"2262900";"3296";"719.1"
"92777000";"2262900";"3296";"727.4"
"93856000";"2262900";"3296";"735.4"
"94935000";"2280500";"3296";"743.7"
"96277000";"2280500";"3296";"753.5"
"97357000";"2280500";"3296";"761.5"
"98436000";"2280500";"3296";"769.8"
"99515000";"2280500";"3296";"778.2"
"100595000";"2280500";"3296";"786.1"
"101937000";"2212200";"3296";"794.8"
"103021000";"2212200";"3296";"802.8"
"104100000";"2212200";"3296";"811.1"
"105180000";"2212200";"3296";"819.0"
