Time (ns);Current (nA);Voltage (mV);Energy (uJ);DSR
"0";"2202400";"3299";"41.2";"0x8040000000000800"
"1200000";"2202400";"3297";"49.9";""
"2333000";"2202400";"3297";"59.0";"0x8040000000000800"
"3466000";"2202400";"3297";"67.7";""
"4599000";"2202400";"3296";"76.4";""
"5680000";"2202400";"3295";"81.7";""
"6878000";"2185200";"3295";"90.8";""
"8011000";"2185200";"3295";"99.5";""
"9145000";"2185200";"3296";"108.6";""
"10279000";"2185200";"3296";"117.3";""
"11358000";"2185200";"3296";"122.6";""
"12556000";"2185200";"3296";"131.7";""
"13689000";"2207100";"3296";"140.4";""
"14823000";"2207100";"3296";"149.5";""
"15961000";"2207100";"3296";"158.6";""
"17035000";"2207100";"3296";"163.5";""
"18234000";"2207100";"3296";"172.6";""
"19368000";"2207100";"3296";"181.7";""
"20501000";"2223500";"3296";"190.4";""
"21635000";"2223500";"3296";"199.5";""
"22709000";"2223500";"3296";"204.4";""
"23907000";"2223500";"3296";"213.5";""
"25041000";"2223500";"3296";"222.2";""
"26181000";"2223500";"3296";"231.3";""
"27314000";"2206100";"3296";"240.0";""
"28387000";"2206100";"3296";"245.3";""
"29585000";"2206100";"3296";"254.4";""
"30718000";"2206100";"3296";"263.1";""
"31851000";"2206100";"3296";"272.2";""
"32985000";"2206100";"3296";"280.9";""
"34059000";"2206100";"3296";"286.2";""
"35258000";"2108000";"3297";"295.3";""
"36396000";"2108000";"3296";"304.0";""
"37530000";"2108000";"3296";"313.1";""
"38663000";"2108000";"3296";"321.8";""
"39737000";"2108000";"3296";"327.1";""
"40937000";"2108000";"3296";"336.2";""
"42070000";"2206700";"3296";"344.9";""
"43204000";"2206700";"3296";"354.0";""
"44338000";"2206700";"3296";"362.7";""
"45418000";"2206700";"3296";"368.0";""
"46617000";"2206700";"3296";"377.1";""
"47750000";"2206700";"3296";"385.8";""
"48883000";"2223300";"3296";"394.9";""
"50016000";"2223300";"3296";"403.6";""
"51091000";"2223300";"3296";"408.9";""
"52290000";"2223300";"3297";"417.6";""
"53429000";"2223300";"3297";"426.7";""
"54562000";"2223300";"3297";"435.8";""
"55701000";"2204400";"3297";"444.5";""
"56776000";"2204400";"3296";"449.7";""
"57975000";"2204400";"3296";"458.8";""
"59108000";"2204400";"3297";"467.9";""
"60241000";"2204400";"3297";"476.6";""
"61374000";"2204400";"3297";"485.7";""
"62449000";"2204400";"3297";"490.6";""
"63648000";"2107400";"3297";"499.7";""
"64781000";"2107400";"3297";"508.4";""
"65920000";"2107400";"3297";"517.5";""
"67053000";"2107400";"3297";"526.2";""
"68126000";"2107400";"3297";"531.5";""
"69324000";"2107400";"3297";"540.6";""
"70458000";"2207100";"3297";"549.3";""
"71592000";"2207100";"3297";"558.4";""
"72725000";"2207100";"3297";"567.1";""
"73800000";"2207100";"3297";"572.4";""
"74999000";"2207100";"3297";"581.5";""
"76138000";"2207100";"3297";"590.6";""
"77272000";"2223100";"3297";"599.3";""
"78405000";"2223100";"3297";"608.4";""
"79479000";"2223100";"3297";"613.7";""
"80679000";"2223100";"3297";"622.4";""
"81812000";"2223100";"3297";"631.5";""
"82945000";"2223100";"3297";"640.2";""
"84078000";"2225400";"3297";"649.3";""
"85152000";"2225400";"3297";"654.2";""
"86357000";"2225400";"3297";"663.3";""
"87490000";"2225400";"3297";"672.0";""
"88624000";"2225400";"3297";"681.1";""
"89757000";"2225400";"3297";"689.8";""
"90832000";"2225400";"3296";"695.1";""
"92030000";"2091500";"3296";"704.2";""
"93164000";"2091500";"3296";"712.9";""
"94297000";"2091500";"3297";"722.0";""
"95441000";"2091500";"3297";"730.7";""
"96516000";"2091500";"3297";"736.0";""
"97716000";"2091500";"3297";"745.1";""
"98850000";"2221200";"3297";"754.2";""
"99983000";"2221200";"3297";"762.9";""
"101116000";"2221200";"3297";"772.0";""
"102190000";"2221200";"3297";"776.9";""
"103388000";"2221200";"3297";"786.0";""
"104521000";"2221200";"3297";"794.7";""
"105661000";"2206700";"3297";"803.8";""
"106794000";"2206700";"3296";"812.5";""
"107868000";"2206700";"3296";"817.8";""
"109067000";"2206700";"3296";"826.9";""
"110201000";"2206700";"3296";"835.6";""
"111335000";"2206700";"3296";"844.7";""
"112467000";"2208400";"3296";"853.4";""
"113542000";"2208400";"3296";"858.7";""
"114741000";"2208400";"3296";"867.7";""
"115879000";"2208400";"3296";"876.5";""
"117014000";"2208400";"3296";"885.6";""
"118147000";"2208400";"3296";"894.3";""
"119221000";"2208400";"3296";"899.5";""
"120420000";"2105800";"3296";"908.6";""
"121553000";"2105800";"3296";"917.3";""
"122686000";"2105800";"3296";"926.4";""
"123820000";"2105800";"3296";"935.2";""
"124896000";"2105800";"3296";"940.4";""
"126099000";"2105800";"3296";"949.5";""
"127233000";"2206300";"3296";"958.2";""
"128366000";"2206300";"3296";"967.3";""
"129498000";"2206300";"3296";"976.0";""
"130572000";"2206300";"3296";"981.3";""
