Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"0";"0";"3302";"41.2"
"1080000";"0";"3300";"49.2"
"2160000";"2215200";"3298";"57.1"
"3245000";"2215200";"3298";"65.5"
"4325000";"2215200";"3297";"73.4"
"5667000";"2215200";"3297";"82.1"
"6746000";"2215200";"3297";"90.1"
"7825000";"2215200";"3297";"98.4"
"8905000";"2215200";"3296";"106.4"
"9985000";"2228900";"3297";"114.7"
"11327000";"2228900";"3296";"123.0"
"12407000";"2228900";"3297";"131.3"
"13492000";"2228900";"3297";"139.7"
"14573000";"2228900";"3297";"147.6"
"15657000";"2228900";"3297";"156.0"
"16998000";"2208700";"3297";"165.8"
"18078000";"2208700";"3297";"174.1"
"19157000";"2208700";"3297";"182.1"
"20236000";"2208700";"3297";"190.4"
"21315000";"2208700";"3297";"198.4"
"22657000";"2208700";"3297";"207.1"
"23741000";"2208700";"3297";"215.0"
"24820000";"2230000";"3297";"223.4"
"25899000";"2230000";"3297";"231.3"
"26980000";"2230000";"3297";"239.3"
"28322000";"2230000";"3297";"248.0"
"29402000";"2230000";"3297";"255.9"
"30481000";"2230000";"3297";"264.3"
"31560000";"2230000";"3297";"272.6"
"32641000";"2215400";"3297";"280.5"
"33988000";"2215400";"3297";"290.8"
"35067000";"2215400";"3297";"298.7"
"36148000";"2215400";"3297";"307.1"
"37227000";"2215400";"3297";"315.0"
"38307000";"2215400";"3297";"323.3"
"39648000";"2210600";"3297";"331.7"
"40728000";"2210600";"3297";"340.0"
"41807000";"2210600";"3297";"347.9"
"42892000";"2210600";"3297";"356.3"
"43972000";"2210600";"3297";"364.2"
"45314000";"2210600";"3297";"372.9"
"46394000";"2210600";"3297";"380.9"
"47473000";"2229100";"3297";"389.2"
"48552000";"2229100";"3297";"397.2"
"49631000";"2229100";"3297";"405.5"
"50974000";"2229100";"3297";"413.8"
"52053000";"2229100";"3297";"422.2"
"53138000";"2229100";"3297";"430.1"
"54218000";"2229100";"3297";"438.4"
"55297000";"2229100";"3297";"446.8"
"56640000";"2229100";"3297";"456.6"
"57723000";"2229100";"3297";"465.0"
"58803000";"2229100";"3297";"472.9"
"59882000";"2229100";"3297";"481.2"
"60963000";"2229100";"3297";"489.2"
"62304000";"2260200";"3297";"499.0"
"63389000";"2260200";"3297";"507.4"
"64468000";"2260200";"3297";"515.3"
"65548000";"2260200";"3297";"523.7"
"66628000";"2260200";"3297";"531.6"
"67970000";"2260200";"3298";"540.3"
"69050000";"2260200";"3298";"548.3"
"70129000";"2214300";"3298";"556.2"
"71208000";"2214300";"3298";"564.5"
"72287000";"2214300";"3298";"572.9"
"73635000";"2214300";"3298";"581.2"
"74715000";"2214300";"3298";"589.5"
"75794000";"2214300";"3298";"597.5"
"76874000";"2228400";"3298";"605.8"
"77953000";"2228400";"3298";"614.2"
"79295000";"2228400";"3298";"622.5"
"80374000";"2228400";"3298";"630.8"
"81452000";"2228400";"3298";"638.8"
"82532000";"2228400";"3298";"647.1"
"83618000";"2228400";"3298";"655.0"
"84960000";"2170900";"3298";"663.7"
"86040000";"2170900";"3298";"671.7"
"87119000";"2170900";"3298";"680.0"
"88198000";"2170900";"3298";"688.0"
"89277000";"2170900";"3298";"695.9"
"90621000";"2170900";"3298";"704.6"
"91700000";"2170900";"3298";"713.0"
"92779000";"2216000";"3298";"720.9"
"93864000";"2216000";"3298";"729.3"
"94944000";"2216000";"3298";"737.6"
"96287000";"2216000";"3298";"747.4"
"97366000";"2216000";"3298";"755.4"
"98446000";"2216000";"3298";"763.7"
"99530000";"2295200";"3298";"772.1"
"100609000";"2295200";"3298";"780.0"
"101950000";"2295200";"3298";"788.3"
"103036000";"2295200";"3298";"796.7"
"104116000";"2295200";"3298";"805.0"
"105195000";"2295200";"3298";"812.9"
"106274000";"2295200";"3298";"821.3"
"107616000";"2213600";"3298";"831.1"
"108696000";"2213600";"3298";"839.1"
"109775000";"2213600";"3298";"847.4"
"110854000";"2213600";"3298";"855.4"
"111935000";"2213600";"3298";"863.7"
"113282000";"2213600";"3298";"872.4"
"114362000";"2213600";"3298";"880.3"
"115441000";"2228900";"3298";"888.7"
"116522000";"2228900";"3298";"897.0"
"117601000";"2228900";"3298";"905.0"
"118943000";"2228900";"3298";"913.7"
"120023000";"2228900";"3298";"921.6"
"121103000";"2228900";"3298";"930.0"
"122182000";"2228900";"3298";"937.9"
"123267000";"2228700";"3298";"946.2"
"124609000";"2228700";"3298";"954.6"
"125689000";"2228700";"3298";"962.9"
"126768000";"2228700";"3297";"970.8"
"127848000";"2228700";"3297";"979.2"
"128927000";"2228700";"3297";"987.1"
"130270000";"2146000";"3297";"995.8"
"131348000";"2146000";"3297";"1003.8"
"132429000";"2146000";"3297";"1012.1"
"133514000";"2146000";"3297";"1020.5"
"134593000";"2146000";"3297";"1028.4"
"135935000";"2146000";"3297";"1038.6"
"137014000";"2280300";"3297";"1046.6"
"138095000";"2280300";"3297";"1054.9"
"139173000";"2280300";"3297";"1062.9"
"140253000";"2280300";"3297";"1071.2"
"141600000";"2280300";"3297";"1081.0"
"142679000";"2280300";"3297";"1089.0"
"143764000";"2278500";"3297";"1097.3"
"144843000";"2278500";"3297";"1105.3"
"145923000";"2278500";"3297";"1113.6"
"147265000";"2278500";"3297";"1121.9"
"148345000";"2278500";"3297";"1130.3"
"149425000";"2278500";"3297";"1138.2"
"150504000";"2278500";"3297";"1146.6"
"151584000";"2215600";"3297";"1154.5"
"152932000";"2215600";"3296";"1163.2"
"154012000";"2215600";"3296";"1171.5"
"155091000";"2215600";"3296";"1179.5"
"156171000";"2215600";"3296";"1187.8"
"157250000";"2215600";"3296";"1196.2"
"158593000";"2160700";"3296";"1204.5"
"159672000";"2160700";"3296";"1212.8"
"160751000";"2160700";"3296";"1220.8"
"161831000";"2160700";"3296";"1229.1"
"162916000";"2160700";"3296";"1237.1"
"164259000";"2160700";"3296";"1246.9"
"165338000";"2279800";"3296";"1255.2"
"166417000";"2279800";"3296";"1263.2"
"167498000";"2279800";"3296";"1271.5"
"168577000";"2279800";"3296";"1279.5"
"169920000";"2279800";"3296";"1289.7"
"170999000";"2279800";"3296";"1297.6"
"172079000";"2281600";"3296";"1306.0"
"173164000";"2281600";"3296";"1313.9"
"174244000";"2281600";"3296";"1322.3"
"175586000";"2281600";"3296";"1332.1"
"176665000";"2281600";"3296";"1340.4"
"177745000";"2281600";"3296";"1348.4"
"178824000";"2279800";"3296";"1356.7"
"179905000";"2279800";"3295";"1364.7"
"181247000";"2279800";"3295";"1373.4"
"182326000";"2279800";"3295";"1381.3"
"183416000";"2279800";"3295";"1389.7"
"184495000";"2279800";"3295";"1397.6"
"185575000";"2279800";"3295";"1406.0"
"186917000";"2154700";"3295";"1414.3"
"187997000";"2154700";"3295";"1422.6"
"189075000";"2154700";"3295";"1430.6"
"190155000";"2154700";"3295";"1438.9"
"191235000";"2154700";"3295";"1447.2"
"192578000";"2154700";"3295";"1457.1"
"193663000";"2296700";"3295";"1465.4"
"194742000";"2296700";"3295";"1473.7"
"195821000";"2296700";"3295";"1481.7"
"196901000";"2296700";"3295";"1490.0"
"198243000";"2296700";"3295";"1499.9"
"199323000";"2296700";"3295";"1508.2"
"200401000";"2282400";"3295";"1516.2"
"201482000";"2282400";"3295";"1524.5"
"202561000";"2282400";"3295";"1532.4"
"203908000";"2282400";"3295";"1541.1"
"204987000";"2282400";"3295";"1549.1"
"206066000";"2282400";"3295";"1557.4"
"207146000";"2282400";"3295";"1565.4"
"208224000";"2229700";"3296";"1573.7"
"209567000";"2229700";"3296";"1583.6"
"210646000";"2229700";"3296";"1591.5"
"211725000";"2229700";"3296";"1599.8"
"212805000";"2229700";"3296";"1607.8"
"213890000";"2229700";"3296";"1616.1"
"215233000";"2210200";"3296";"1624.8"
"216312000";"2210200";"3296";"1632.8"
"217392000";"2210200";"3296";"1641.1"
"218472000";"2210200";"3296";"1649.1"
"219552000";"2210200";"3296";"1657.4"
"220893000";"2210200";"3296";"1666.1"
"221972000";"2210200";"3296";"1674.1"
"223057000";"2229100";"3296";"1682.4"
"224136000";"2229100";"3296";"1690.3"
"225220000";"2229100";"3296";"1698.7"
"226563000";"2229100";"3296";"1708.5"
"227643000";"2229100";"3296";"1716.5"
"228722000";"2229100";"3296";"1724.8"
"229801000";"2263300";"3296";"1732.8"
"230880000";"2263300";"3296";"1741.1"
"232223000";"2263300";"3296";"1749.8"
"233307000";"2263300";"3296";"1757.7"
"234387000";"2263300";"3296";"1766.1"
"235466000";"2263300";"3297";"1774.4"
"236546000";"2228600";"3297";"1782.4"
"237888000";"2228600";"3297";"1791.1"
"238968000";"2228600";"3297";"1799.0"
"240047000";"2228600";"3297";"1807.4"
"241126000";"2228600";"3297";"1815.3"
"242205000";"2228600";"3297";"1823.6"
"243553000";"2210600";"3297";"1833.5"
"244633000";"2210600";"3297";"1841.4"
"245713000";"2210600";"3297";"1849.8"
"246792000";"2210600";"3297";"1857.7"
"247872000";"2210600";"3297";"1866.1"
"249215000";"2210600";"3297";"1874.4"
"250294000";"2210600";"3297";"1882.7"
"251374000";"2215400";"3297";"1890.7"
"252454000";"2215400";"3297";"1899.0"
"253539000";"2215400";"3297";"1907.3"
"254882000";"2215400";"3297";"1915.7"
"255962000";"2215400";"3297";"1924.0"
"257041000";"2215400";"3297";"1931.9"
"258120000";"2228400";"3297";"1940.3"
"259199000";"2228400";"3297";"1948.6"
"260541000";"2228400";"3297";"1956.9"
"261620000";"2228400";"3297";"1965.3"
"262699000";"2228400";"3297";"1973.2"
"263785000";"2228400";"3297";"1981.5"
"264865000";"2228400";"3297";"1989.5"
"266207000";"2156300";"3297";"1997.8"
"267291000";"2156300";"3297";"2006.1"
"268370000";"2156300";"3297";"2014.1"
"269450000";"2156300";"3297";"2022.4"
"270530000";"2156300";"3297";"2030.4"
"271873000";"2156300";"3297";"2040.6"
"272959000";"2294700";"3297";"2048.9"
"274039000";"2294700";"3298";"2056.9"
"275119000";"2294700";"3297";"2065.2"
"276198000";"2294700";"3297";"2073.6"
"277540000";"2294700";"3297";"2083.4"
"278618000";"2294700";"3297";"2091.7"
"279697000";"2282200";"3297";"2099.7"
"280777000";"2282200";"3297";"2107.6"
"281857000";"2282200";"3297";"2116.0"
"283204000";"2282200";"3297";"2124.3"
"284284000";"2282200";"3297";"2132.6"
"285364000";"2282200";"3297";"2140.6"
"286443000";"2282200";"3298";"2148.9"
"287522000";"2214200";"3298";"2156.9"
"288866000";"2214200";"3298";"2166.7"
"289945000";"2214200";"3298";"2175.1"
"291025000";"2214200";"3298";"2183.0"
"292104000";"2214200";"3298";"2191.3"
"293188000";"2214200";"3298";"2199.7"
"294530000";"2276300";"3298";"2209.5"
"295610000";"2276300";"3298";"2217.8"
"296689000";"2276300";"3298";"2226.2"
"297768000";"2276300";"3298";"2234.1"
"298847000";"2276300";"3298";"2242.5"
"300189000";"2276300";"3298";"2250.8"
"301268000";"2231000";"3298";"2259.1"
"302349000";"2231000";"3298";"2267.1"
"303433000";"2231000";"3298";"2275.4"
"304512000";"2231000";"3298";"2283.4"
"305854000";"2231000";"3298";"2293.2"
"306934000";"2231000";"3298";"2301.5"
"308013000";"2263100";"3298";"2309.5"
"309098000";"2263100";"3298";"2317.8"
"310178000";"2263100";"3298";"2325.8"
"311519000";"2263100";"3298";"2334.5"
"312600000";"2263100";"3298";"2342.8"
"313684000";"2263100";"3298";"2350.8"
"314765000";"2226300";"3298";"2359.1"
"315844000";"2226300";"3298";"2367.4"
"317186000";"2226300";"3298";"2375.8"
"318266000";"2226300";"3298";"2384.1"
"319345000";"2226300";"3298";"2392.0"
"320424000";"2226300";"3298";"2400.4"
"321503000";"2226300";"3298";"2408.3"
"322846000";"2215000";"3297";"2418.2"
"323931000";"2215000";"3297";"2426.5"
"325010000";"2215000";"3297";"2434.5"
"326091000";"2215000";"3297";"2442.8"
"327170000";"2215000";"3297";"2450.7"
"328514000";"2215000";"3297";"2461.0"
"329594000";"2279200";"3297";"2468.9"
"330674000";"2279200";"3297";"2477.2"
"331753000";"2279200";"3297";"2485.2"
"332832000";"2279200";"3297";"2493.5"
"334179000";"2279200";"3297";"2502.2"
"335259000";"2279200";"3297";"2510.2"
"336339000";"2228400";"3297";"2518.5"
"337419000";"2228400";"3297";"2526.9"
"338499000";"2228400";"3297";"2534.8"
"339841000";"2228400";"3297";"2545.0"
"340920000";"2228400";"3297";"2553.0"
"341999000";"2228400";"3297";"2561.3"
"343084000";"2280000";"3297";"2569.3"
"344164000";"2280000";"3297";"2577.6"
"345506000";"2280000";"3297";"2587.5"
"346587000";"2280000";"3297";"2595.8"
"347665000";"2280000";"3297";"2603.7"
"348745000";"2280000";"3297";"2612.1"
"349824000";"2281800";"3297";"2620.0"
"351172000";"2281800";"3297";"2628.7"
"352251000";"2281800";"3297";"2636.7"
"353337000";"2281800";"3297";"2645.0"
"354417000";"2281800";"3297";"2653.3"
"355496000";"2281800";"3297";"2661.3"
"356838000";"2158900";"3297";"2670.0"
"357918000";"2158900";"3297";"2678.3"
"358998000";"2158900";"3297";"2686.3"
"360077000";"2158900";"3297";"2694.6"
"361157000";"2158900";"3297";"2702.6"
"362499000";"2158900";"3297";"2711.3"
"363584000";"2158900";"3297";"2719.2"
"364664000";"2228900";"3297";"2727.6"
"365743000";"2228900";"3297";"2735.5"
"366822000";"2228900";"3297";"2743.8"
"368164000";"2228900";"3297";"2752.2"
"369244000";"2228900";"3297";"2760.5"
"370323000";"2228900";"3297";"2768.8"
"371403000";"2228900";"3297";"2776.8"
"372482000";"2230900";"3297";"2785.1"
"373830000";"2230900";"3297";"2793.4"
"374909000";"2230900";"3297";"2801.8"
"375988000";"2230900";"3297";"2810.1"
"377067000";"2230900";"3297";"2818.1"
"378147000";"2230900";"3297";"2826.4"
"379490000";"2210400";"3297";"2836.2"
"380569000";"2210400";"3297";"2844.6"
"381649000";"2210400";"3297";"2852.5"
"382728000";"2210400";"3297";"2860.5"
"383814000";"2210400";"3297";"2868.8"
"385155000";"2210400";"3297";"2877.1"
"386235000";"2210400";"3297";"2885.5"
"387313000";"2214700";"3297";"2893.4"
"388394000";"2214700";"3297";"2901.7"
"389473000";"2214700";"3297";"2909.7"
"390815000";"2214700";"3297";"2918.4"
"391894000";"2214700";"3297";"2926.3"
"392984000";"2214700";"3297";"2934.7"
"394063000";"2226900";"3297";"2943.0"
"395142000";"2226900";"3297";"2951.3"
"396484000";"2226900";"3297";"2959.7"
"397564000";"2226900";"3297";"2968.0"
"398643000";"2226900";"3297";"2976.0"
"399723000";"2226900";"3297";"2984.3"
"400801000";"2226900";"3297";"2992.2"
"402144000";"2172300";"3297";"3000.9"
"403229000";"2172300";"3297";"3008.9"
"404308000";"2172300";"3297";"3017.2"
"405387000";"2172300";"3297";"3025.2"
"406466000";"2172300";"3297";"3033.5"
"407809000";"2172300";"3297";"3043.4"
"408888000";"2280500";"3297";"3051.7"
"409967000";"2280500";"3297";"3059.6"
"411046000";"2280500";"3297";"3068.0"
"412125000";"2280500";"3297";"3075.9"
"413473000";"2280500";"3297";"3084.6"
"414552000";"2280500";"3297";"3093.0"
"415631000";"2280500";"3297";"3100.9"
"416711000";"2229500";"3297";"3109.2"
"417791000";"2229500";"3298";"3117.6"
"419134000";"2229500";"3298";"3125.9"
"420213000";"2229500";"3298";"3134.2"
"421293000";"2229500";"3298";"3142.2"
"422372000";"2229500";"3298";"3150.5"
"423457000";"2229500";"3298";"3158.5"
"424799000";"2170200";"3298";"3167.2"
"425879000";"2170200";"3298";"3175.1"
"426959000";"2170200";"3298";"3183.1"
"428038000";"2170200";"3298";"3191.4"
"429117000";"2170200";"3298";"3199.4"
"430460000";"2170200";"3297";"3208.1"
"431540000";"2170200";"3297";"3216.4"
"432620000";"2215400";"3297";"3224.4"
"433705000";"2215400";"3297";"3232.7"
"434789000";"2215400";"3297";"3241.0"
"436131000";"2215400";"3298";"3249.3"
"437211000";"2215400";"3297";"3257.7"
"438290000";"2215400";"3298";"3266.0"
"439369000";"2227400";"3297";"3274.0"
"440448000";"2227400";"3297";"3282.3"
"441791000";"2227400";"3297";"3290.6"
"442875000";"2227400";"3297";"3298.9"
"443955000";"2227400";"3297";"3306.9"
"445034000";"2227400";"3297";"3315.2"
"446114000";"2227400";"3297";"3323.2"
"447455000";"2170700";"3298";"3331.9"
"448534000";"2170700";"3297";"3339.8"
"449613000";"2170700";"3297";"3348.2"
"450693000";"2170700";"3297";"3356.1"
"451772000";"2170700";"3297";"3364.5"
"453121000";"2170700";"3297";"3373.2"
"454199000";"2170700";"3297";"3381.1"
"455279000";"2229500";"3297";"3389.4"
"456358000";"2229500";"3298";"3397.4"
"457437000";"2229500";"3298";"3405.7"
"458779000";"2229500";"3298";"3414.4"
"459860000";"2229500";"3297";"3422.4"
"460939000";"2229500";"3297";"3430.7"
"462018000";"2229500";"3297";"3438.7"
"463103000";"2229300";"3297";"3447.0"
"464445000";"2229300";"3297";"3455.3"
"465525000";"2229300";"3297";"3463.7"
"466603000";"2229300";"3297";"3471.6"
"467683000";"2229300";"3297";"3479.9"
"468763000";"2229300";"3297";"3487.9"
"470106000";"2145800";"3297";"3496.6"
"471185000";"2145800";"3297";"3504.5"
"472266000";"2145800";"3297";"3512.9"
"473350000";"2145800";"3297";"3521.2"
"474430000";"2145800";"3297";"3529.2"
"475773000";"2145800";"3297";"3537.9"
"476857000";"2226700";"3297";"3546.2"
"477937000";"2226700";"3297";"3554.2"
"479016000";"2226700";"3297";"3562.5"
"480095000";"2226700";"3297";"3570.4"
"481436000";"2226700";"3297";"3579.1"
